from;r120670124124-biomass_gas-bpchp_heat_high;r120670124124-biomass_gas-bpchp_heat_low_central;r120670124124-biomass_gas-bpchp_heat_low_decentral;r120670124124-biomass_solid-bpchp_heat_high;r120670124124-biomass_solid-bpchp_heat_low_central;r120670124124-biomass_solid-bpchp_heat_low_decentral;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity-import;r120670124124-electricity-large_battery_storage;r120670124124-electricity-pv_agri_horizontal;r120670124124-electricity-pv_agri_vertical;r120670124124-electricity-pv_ground;r120670124124-electricity-pv_rooftop;r120670124124-electricity-small_battery_storage;r120670124124-electricity-wind;r120670124124-h2-bpchp_heat_high;r120670124124-residual_waste-bpchp_heat_high;r120670124124-residual_waste-bpchp_heat_low_central
to;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity-boiler_heat_high;r120670124124-electricity-demand_cts;r120670124124-electricity-demand_hh;r120670124124-electricity-demand_ind;r120670124124-electricity-demand_mob;r120670124124-electricity-electrolyzer;r120670124124-electricity-export;r120670124124-electricity-heatpump_central;r120670124124-electricity-heatpump_decentral;r120670124124-electricity-heatpump_heat_high;r120670124124-electricity-large_battery_storage;r120670124124-electricity-small_battery_storage;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5781789968513313;0.9175069961974212;1.0835429715823053;1.067327625120978;0.0;0.0;0.0017068483525268224;1.2924054152356967;0.12063880985709378;0.0;0.0;5.061307663197353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5491741282365871;0.7075345933428978;1.0835429715823053;0.26318174561816776;0.0;0.0;0.0017522883049081238;1.32681201054846;0.12212216367113171;0.0;0.0;4.054119901304458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5132332784903981;0.5412943737035923;1.0835429715823053;0.13272703290690827;0.0;0.0;0.0017691801761815567;1.3396023359894573;0.12335740269626197;0.0;0.0;3.735526575545105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4761715581983599;0.48626712330033783;1.0835429715823053;0.07178134996971762;0.0;0.0;0.0018780740825515632;1.5091941920110092;0.12162812181937001;0.0;0.0;3.7504633909636516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.464636436709222;0.4535403901657707;1.0835429715823053;0.028017106404568243;0.0;0.0;0.0021749928566101645;1.8692644306340027;0.12333342137447702;0.0;0.0;4.024509749726956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.06519612821097141;0.0;0.49009252664192243;0.44514149405158976;1.0835429715823053;0.019139816478793873;0.0;0.0;0.002888534360763146;1.8725200435756004;0.13032363153974227;0.0;0.0;3.9784528900197462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.18489459704758496;0.0;0.5666681451368093;0.4648354573538073;1.0835429715823053;0.13723187627206335;0.0;0.0;0.0031017550357184402;1.8617118470758856;0.14316563033280863;0.0;0.0;4.075363085741813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.1820284689865353;0.0;0.6213105177901914;0.5331850946967969;1.0835429715823053;0.3516902707448833;0.0;0.0;0.002953682753556542;1.8692644306340027;0.15709864780528776;0.0;0.0;4.437017147020488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.17792471026651122;0.0;0.6866718030541654;0.8786983038077577;1.0835429715823053;0.5810492728032222;0.0;0.0;0.0024541870997768574;1.5589249758622385;0.16503759193533227;0.0;0.0;4.759094939529705;0.0;0.0;0.0;0.0;0.01935945634858165;0.0;0.0;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.14313158256491187;0.008280701772926655;0.7679442188384604;1.4741510765916355;1.0835429715823053;0.6782521286930282;0.0;0.0;0.0023367813535426383;1.532628070828687;0.16376807199736815;0.0;0.0;5.451615701001544;0.0;0.0;0.0;0.0;0.11615673809149765;0.0;0.0;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.0;0.0;0.10808093425238664;0.008328417724601918;0.8268707126861417;1.9262433812208724;1.0835429715823053;1.1916432232583112;0.0;0.0;0.0022405161050674414;1.5192726213184038;0.16189999513047804;0.0;0.0;6.360287972242214;0.0;0.0;0.0;0.0;0.2516729325315808;0.0;0.0;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.0;0.0;0.08170448617340241;0.009476833222677287;0.8626712847024944;2.2766800811573398;1.0835429715823053;1.2953956720561817;0.0;0.0;0.002178779552975569;1.5160591187116201;0.16007405533577337;0.0;0.0;6.369355512553221;0.0;0.0;0.0;0.0;0.7550187975947443;0.0;0.0;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0626910544536733;0.011622168310336172;0.8733670516680775;2.428439445427064;1.0835429715823053;1.251816814906902;0.0;0.0;0.002142224111981078;1.5192726213184038;0.15828884282273503;0.0;0.0;6.491422831750803;0.0;0.0;0.0;0.0;0.7743782539433279;0.0;0.0;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.0;0.0;0.04559920587640374;0.010863060204535141;0.8402792702399055;2.127237653745856;1.0835429715823053;1.235972076644829;0.0;0.0;0.0021146743799362435;1.5261016205625604;0.15770258784931748;0.0;0.0;6.938214709332841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
