from;B-ch4;BB-ch4;B-electricity;BB-electricity;B-electricity;BB-electricity;B-h2;BB-h2;B-heat_central;BB-heat_central;B-heat_decentral;BB-heat_decentral
to;B-ch4-demand;BB-ch4-demand;B-electricity-bev_charging;BB-electricity-bev_charging;B-electricity-demand;BB-electricity-demand;B-h2-demand;BB-h2-demand;B-heat_central-demand;BB-heat_central-demand;B-heat_decentral-demand;BB-heat_decentral-demand
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;7.851598173515981;405.1665525114155;256.05282338301515;2279.489829965257;675.3003213759117;1526.6256035236613;408.42899543378996;692.6917808219177;971.5289317659838;485.2532540534389;963.7461579418664;1859.6079764465726
2017-01-01 01:00:00;7.851598173515981;405.1665525114155;247.27416008066746;1789.7393732074465;666.402466933372;1506.510564364889;408.42899543378996;692.6917808219177;1008.785491290998;506.91526886667145;991.2863746444896;1922.5392510894374
2017-01-01 02:00:00;7.851598173515981;405.1665525114155;240.5342587592037;1677.234328325332;634.0892060630961;1433.4612116304004;408.42899543378996;692.6917808219177;1019.8332743176152;511.87411717296317;988.2398181962254;1916.6984827317995
2017-01-01 03:00:00;7.851598173515981;405.1665525114155;240.66385829028917;1652.842229381238;622.8498109777827;1408.0527411140565;408.42899543378996;692.6917808219177;1114.485304683006;562.9974484529969;1105.3118052134803;2150.85322625491
2017-01-01 04:00:00;7.851598173515981;405.1665525114155;237.9758094728038;1668.0276175257625;591.84781286746;1337.967709939808;408.42899543378996;692.6917808219177;1343.0013328068933;670.6418837899946;1304.4149771752418;2519.7554323805493
2017-01-01 05:00:00;7.851598173515981;405.1665525114155;232.359560686752;1723.6780851681917;551.105005683199;1245.8620043180615;408.42899543378996;692.6917808219177;1913.9035065669677;957.8200979754012;1774.3706040366208;3443.554655127771
2017-01-01 06:00:00;7.851598173515981;405.1665525114155;198.40386219476127;1256.667268897025;576.2999829994432;1302.8193257255323;408.42899543378996;692.6917808219177;2114.0697000088035;1025.735469731068;1847.7665761119063;3508.446000070856
2017-01-01 07:00:00;7.851598173515981;405.1665525114155;193.55503615657508;1311.9676047384435;606.4590264783673;1370.9987216110549;408.42899543378996;692.6917808219177;2031.8072551045068;991.1608454833081;1813.2475189935897;3454.906014534737
2017-01-01 08:00:00;7.851598173515981;405.1665525114155;202.10483134607355;1490.1240164391936;693.2833535124131;1567.2791563498113;408.42899543378996;692.6917808219177;1976.9075011095745;966.8047525216671;1784.0003074421709;3404.2645566574056
2017-01-01 09:00:00;7.851598173515981;405.1665525114155;231.58526498726567;1575.639305331302;744.5162627763;1683.099434453479;408.42899543378996;692.6917808219177;1894.334025156618;927.6779467517676;1681.1383173444735;3214.2512014860067
2017-01-01 10:00:00;7.851598173515981;405.1665525114155;305.5775254063589;1622.2494243033746;796.4048034201633;1800.4018733372664;408.42899543378996;692.6917808219177;1816.9898327402384;891.9044403402565;1602.6873097976181;3071.21405248156
2017-01-01 11:00:00;7.851598173515981;405.1665525114155;360.2748097929234;1696.1832115267066;488.9136862111317;1105.2684674609586;408.42899543378996;692.6917808219177;1761.1288196575947;863.4314625817071;1566.5546693977315;2997.621300780976
2017-01-01 12:00:00;7.851598173515981;405.1665525114155;387.0846824665881;1810.5392248797646;210.83231947533667;476.6205594357506;408.42899543378996;692.6917808219177;1730.9581621400102;849.1600998003399;1532.4243571673173;2934.526358935454
2017-01-01 13:00:00;7.851598173515981;405.1665525114155;398.86910821836284;1876.4086078912587;293.7228582295227;664.0080294937866;408.42899543378996;692.6917808219177;1708.4320346065012;832.6238829415231;1478.3452067800638;2818.821527386078
2017-01-01 14:00:00;7.851598173515981;405.1665525114155;450.00129016992895;1997.9792548727262;374.08453308951334;845.6785936856453;408.42899543378996;692.6917808219177;1725.0433388366287;838.7049860168827;1486.1891640509205;2828.6522751266743
2017-01-01 15:00:00;7.851598173515981;405.1665525114155;423.3937789461341;1600.7057722916788;409.67595085967235;926.1387503207343;408.42899543378996;692.6917808219177;1760.1029717429979;852.5029538936315;1518.3385910688894;2880.41853008902
2017-01-01 16:00:00;7.851598173515981;405.1665525114155;423.5505431946489;1600.6438331642303;430.09418526465834;972.2974717587589;408.42899543378996;692.6917808219177;1839.7160328077864;892.0320538368587;1582.5992833250634;3005.455494535528
2017-01-01 17:00:00;7.851598173515981;405.1665525114155;392.26935764875657;1575.823522618899;428.59559925328324;968.9096756899131;408.42899543378996;692.6917808219177;1902.4701645587957;922.3655776265739;1626.452316572899;3089.336581236263
2017-01-01 18:00:00;7.851598173515981;405.1665525114155;358.9204355732616;1536.8925657765442;378.95493762648255;856.6889309093945;408.42899543378996;692.6917808219177;1929.6767305867731;936.6326827520876;1647.4372081896452;3132.458057641409
2017-01-01 19:00:00;7.851598173515981;405.1665525114155;344.3712048343708;1523.2033007896464;290.91300945819444;657.6559118647007;408.42899543378996;692.6917808219177;1933.293443994852;940.7137131525062;1664.4933384952635;3170.2782604052964
2017-01-01 20:00:00;7.851598173515981;405.1665525114155;338.2806524484601;1495.472610249101;212.70555198955557;480.8553045218079;408.42899543378996;692.6917808219177;1863.1631842300342;909.7067273031744;1591.2416728253381;3040.8140215417416
2017-01-01 21:00:00;7.851598173515981;405.1665525114155;333.0739443185115;1414.530251576701;209.70837996680532;474.07971238411614;408.42899543378996;692.6917808219177;1709.861632486137;845.7609628516785;1523.4119407965395;2936.07539791918
