from;B-electricity;B-electricity-liion_battery;B-electricity-liion_battery;BB-electricity;BB-electricity-liion_battery;BB-electricity-liion_battery;B-h2;B-h2-cavern;B-h2-cavern;BB-h2;BB-h2-cavern;BB-h2-cavern;B-heat_central;B-heat_central-storage;B-heat_central-storage;BB-heat_central;BB-heat_central-storage;BB-heat_central-storage;B-heat_decentral;B-heat_decentral-storage;B-heat_decentral-storage;BB-heat_decentral;BB-heat_decentral-storage;BB-heat_decentral-storage
to;B-electricity-liion_battery;B-electricity;nan;BB-electricity-liion_battery;BB-electricity;nan;B-h2-cavern;B-h2;nan;BB-h2-cavern;BB-h2;nan;B-heat_central-storage;B-heat_central;nan;BB-heat_central-storage;BB-heat_central;nan;B-heat_decentral-storage;B-heat_decentral;nan;BB-heat_decentral-storage;BB-heat_decentral;nan
type;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content
2017-01-01 00:00:00;0.0;0.0;0.0;0.0;188.51015002937416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.608529583581685;0.0;0.0;451.3018209393543;0.0;3.1119064844372084;0.0;3.111906484437209;5.966055523634217;0.0;5.966055523634218
2017-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.047783026617354;0.0;10.826827366085007;237.46391556732894;0.0;232.71463725598235;0.0;3.0465564482640275;0.0;0.0;5.840768357637899;0.0
2017-01-01 02:00:00;0.0;0.0;0.0;222.72921263547548;0.0;204.91087562463744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.825928739413621;232.50506726103725;0.0;460.5502878569067;0.0;0.0;0.0;0.0;0.0;0.0
