from;r120640428428-biomass_gas-commodity;r120640472472-biomass_gas-commodity;r120670124124-biomass_gas-commodity;r120670201201-biomass_gas-commodity;r120640428428-biomass_solid-commodity;r120640472472-biomass_solid-commodity;r120670124124-biomass_solid-commodity;r120670201201-biomass_solid-commodity;r120640428428-electricity-import;r120640472472-electricity-import;r120670124124-electricity-import;r120670201201-electricity-import;r120640428428-h2-commodity;r120640472472-h2-commodity;r120670124124-h2-commodity;r120670201201-h2-commodity;r120640428428-residual_waste-commodity;r120640472472-residual_waste-commodity;r120670124124-residual_waste-commodity;r120670201201-residual_waste-commodity
to;r120640428428-biomass_gas;r120640472472-biomass_gas;r120670124124-biomass_gas;r120670201201-biomass_gas;r120640428428-biomass_solid;r120640472472-biomass_solid;r120670124124-biomass_solid;r120670201201-biomass_solid;r120640428428-electricity;r120640472472-electricity;r120670124124-electricity;r120670201201-electricity;r120640428428-h2;r120640472472-h2;r120670124124-h2;r120670201201-h2;r120640428428-residual_waste;r120640472472-residual_waste;r120670124124-residual_waste;r120670201201-residual_waste
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.959852974904887;13.612616980520247;5.061307663197353;98.0395205311528;0.0;0.0;0.0;0.0;1.203831578589647;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.489499065412783;11.314652245315239;4.054119901304458;97.15720626081853;0.0;0.0;0.0;0.0;1.209826466935119;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.02638808664327;10.40231069288708;3.735526575545105;96.86183652677677;0.0;0.0;0.0;0.0;1.214306422490985;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0074089495862;10.283881623839129;3.7366275786443417;96.69680149189922;0.0;0.0;0.0;0.0;1.2042103483728084;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.52116268935514;10.854628726112011;4.038003984666382;97.44641479927424;0.0;0.0;0.0;0.0;1.2114075673925198;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.9067905064352133;0.9816840369196975;0.4133504962348812;0.0;27.422856260279787;11.074353831225242;3.9992976859932345;97.92391283075197;0.0;0.0;0.0;0.0;1.252062202292198;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;2.264931699183378;2.2925635781657885;1.2773613484579671;1.502633670871061;27.570034938511263;11.568052796468532;4.094866806783337;98.54957802109533;0.0;0.0;0.0;0.0;1.3235480106852457;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;2.137651470838818;2.151360517466898;1.2524259776088043;1.4054212326802702;28.058323196204665;12.38305620358903;4.457200214081217;99.42333282621223;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.0;2.1266118809679764;2.1307794663185176;1.2510466964233788;2.1751723469616167;28.345575319863915;12.994393311928388;4.76978751008259;99.1220831054195;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.0;1.6521681592886563;1.6394221993225795;1.0073147334098056;1.9699935739125594;29.337401064478684;15.096030902215361;5.461510505420688;99.20366431933203;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.0;1.2097396617847724;1.1927768528383655;0.7569529597489109;1.6173924011538678;30.233275895458213;17.09821046489835;6.374997759732622;98.17390855093055;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.0;0.9348982161519905;0.9301277783482084;0.5685497591847378;1.3441533707530904;28.474311262414254;16.61972449682153;6.402038493095931;91.29805323758413;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.0;0.6622031419335376;0.6464973601642878;0.4327395326152442;1.1573279614734813;29.020167690523095;17.567707523572984;6.5249036768346516;91.34737442349191;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.0;0.44534342989522085;0.42728593657593705;0.31065489992046164;1.005674778938913;31.917636561642727;18.47814867156483;6.944221428581608;101.84021680729009;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;0.0;0.0;0.5490373275248154;0.5277098846885617;0.37878470011051696;1.0640502473688234;31.53884710482274;17.665989766727485;6.534756691991268;101.36536207958821;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.0;0.7852436949169785;0.776945964939421;0.49730686781167127;0.8261984837069647;31.07263712735957;16.89663408693389;6.212828214177274;100.87444267894739;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;0.0;0.0;1.2231736750447906;1.212228087620575;0.7703170461425497;0.6783089417814004;31.038768653072495;16.692026629556704;6.24666525086531;100.6931330184004;0.0;0.0;0.0;0.0;1.3367924115836445;0.0;0.0;0.0
