from;r120640472472-biomass_solid;r120640472472-biomass_solid-boiler_heat_high;r120640472472-electricity;r120640472472-electricity-boiler_heat_high;r120640472472-electricity;r120640472472-electricity-electrolyzer;r120640472472-electricity;r120640472472-electricity-heatpump_central;r120640472472-electricity;r120640472472-electricity-heatpump_decentral;r120640472472-electricity;r120640472472-electricity-heatpump_heat_high;r120640472472-h2;r120640472472-h2-boiler_heat_high
to;r120640472472-biomass_solid-boiler_heat_high;r120640472472-heat_high;r120640472472-electricity-boiler_heat_high;r120640472472-heat_high;r120640472472-electricity-electrolyzer;r120640472472-h2;r120640472472-electricity-heatpump_central;r120640472472-heat_low_central;r120640472472-electricity-heatpump_decentral;r120640472472-heat_low_decentral;r120640472472-electricity-heatpump_heat_high;r120640472472-heat_high;r120640472472-h2-boiler_heat_high;r120640472472-heat_high
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.7773116129188644;2.661514962634192;2.327462261534758;7.969230783495011;0.1737002083760549;0.45683154802902437;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.7971970918315388;2.7144560976863894;2.387004279115069;8.12774957038681;0.17583599591324148;0.4606903092926927;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.8017745169458759;2.740465298921004;2.4007102163885587;8.205627519616094;0.17761453862527196;0.46357394581195976;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.8520923771361102;2.929493592593947;2.693400707026206;9.259911630756097;0.1751246562315988;0.45707535276447286;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.9806871576010596;3.384351380881257;3.226666075035656;11.13522462494805;0.17758000943357888;0.4617080245273051;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;1.2791607825574263;4.4067088959103335;3.2322858127570537;11.13522462494805;0.18764477187393544;0.48787640687223216;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;1.3524574174222257;4.6862649513680115;3.2136290403890477;11.13522462494805;0.20613515543261826;0.5338900525704813;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;1.296369660527918;4.473771698481845;3.226666075035656;11.13522462494805;0.22619642792978328;0.5835867840588409;0.0;0.0
