from;r120640472472-biomass_gas-commodity;r120640472472-biomass_solid-commodity;r120640472472-electricity-import;r120640472472-h2-commodity;r120640472472-residual_waste-commodity
to;r120640472472-biomass_gas;r120640472472-biomass_solid;r120640472472-electricity;r120640472472-h2;r120640472472-residual_waste
type;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;13.612616980520247;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;11.314652245315239;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;10.40231069288708;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;10.332434009426489;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;10.807274997768138;0.0;0.0
2019-01-01 05:00:00;0.0;1.1909990043580703;10.99761353360253;0.0;0.0
2019-01-01 06:00:00;0.0;2.4194423793296647;11.503127364157043;0.0;0.0
2019-01-01 07:00:00;0.0;2.3190200193800097;12.31223014497732;0.0;0.0
2019-01-01 08:00:00;0.0;2.273289443685848;12.937635986977325;0.0;0.0
2019-01-01 09:00:00;0.0;1.7750348141596959;15.035404323030555;0.0;0.0
2019-01-01 10:00:00;0.0;1.3283894676754817;17.02327729131219;0.0;0.0
2019-01-01 11:00:00;0.0;1.0657403931853244;16.490733971807394;0.0;0.0
2019-01-01 12:00:00;0.0;0.782109975001404;17.436467230946633;0.0;0.0
2019-01-01 13:00:00;0.0;0.5628985514130532;18.429855313472707;0.0;0.0
2019-01-01 14:00:00;0.0;0.663322499525678;17.6176139183466;0.0;0.0
2019-01-01 15:00:00;0.0;0.9194559423067523;16.842259179488796;0.0;0.0
2019-01-01 16:00:00;0.0;1.3798875895336864;16.629477848663644;0.0;0.0
2019-01-01 17:00:00;0.0;1.7409712654636644;17.108332387385428;0.0;0.0
2019-01-01 18:00:00;0.0;1.7202856525124697;18.44473583850986;0.0;0.0
2019-01-01 19:00:00;0.0;1.5568804970458132;19.606511158739856;0.0;0.0
2019-01-01 20:00:00;0.0;1.209771218538671;18.981697328036745;0.0;0.0
2019-01-01 21:00:00;0.0;0.32547754928586425;17.263435950756946;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;15.58154356916712;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;13.549170813004034;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;13.084843283408818;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;12.216032324554623;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;11.362429101119172;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;11.37213296780115;0.0;0.0
2019-01-02 04:00:00;0.0;0.4693957400229768;11.377476433421762;0.0;0.0
2019-01-02 05:00:00;0.22023600073621136;2.4194423793296647;11.405827261370712;0.0;0.0
2019-01-02 06:00:00;5.554589454812491;2.4194423793296647;9.600283233626902;0.0;0.0
2019-01-02 07:00:00;3.962895187709203;2.4194423793296647;10.763460351029389;0.0;0.0
2019-01-02 08:00:00;3.7984077542561834;2.4345122232733827;10.308975902107655;0.0;0.0
2019-01-02 09:00:00;2.5664360408817273;2.4345122232733827;10.622564803243993;0.0;0.0
2019-01-02 10:00:00;1.4671056050082714;2.4345122232733827;12.85871362729781;0.0;0.0
2019-01-02 11:00:00;0.8164037279783213;2.4345122232733827;14.200871691364805;0.0;0.0
2019-01-02 12:00:00;0.11440959307828016;2.4345122232733827;14.114222533076905;0.0;0.0
2019-01-02 13:00:00;0.0;2.4345122232733827;18.58847848918901;0.0;0.0
2019-01-02 14:00:00;0.0;2.4345122232733827;18.45716102576235;0.0;0.0
2019-01-02 15:00:00;0.0;2.4194423793296647;17.953540775352288;0.0;0.0
2019-01-02 16:00:00;1.5626990181100335;2.4194423793296647;17.01398085510612;0.0;0.0
2019-01-02 17:00:00;2.5139325672471338;2.4194423793296647;17.255783892082327;0.0;0.0
2019-01-02 18:00:00;2.462065358687664;2.4194423793296647;19.61735421843449;0.0;0.0
2019-01-02 19:00:00;2.058313403080872;2.4194423793296647;20.119085842509747;0.0;0.0
2019-01-02 20:00:00;1.205478709221061;2.4194423793296647;19.471251835787417;0.0;0.0
2019-01-02 21:00:00;0.0;1.9753369417703213;17.357043626866314;0.0;0.0
2019-01-02 22:00:00;0.0;0.10595027620096138;16.023191794750854;0.0;0.0
2019-01-02 23:00:00;0.0;0.0;13.77588842446685;0.0;0.0
2019-01-03 00:00:00;0.0;0.0;13.052484901815331;0.0;0.0
2019-01-03 01:00:00;0.0;0.0;12.144574776459448;0.0;0.0
2019-01-03 02:00:00;0.0;0.0;11.92490817356144;0.0;0.0
2019-01-03 03:00:00;0.0;0.0;11.572047693485452;0.0;0.0
2019-01-03 04:00:00;0.0;1.0486713750137318;11.590754696492318;0.0;0.0
2019-01-03 05:00:00;1.4732800280286085;2.4194423793296647;11.678857590380913;0.0;0.0
2019-01-03 06:00:00;9.130592888344145;2.4194423793296647;11.440296787579452;0.0;0.0
2019-01-03 07:00:00;8.093224861051226;2.4194423793296647;17.50409893048425;0.0;0.0
2019-01-03 08:00:00;7.9333162850587575;2.4345122232733827;24.10844629211655;0.0;0.0
2019-01-03 09:00:00;6.8192760824638246;2.4345122232733827;23.019839900332705;0.0;0.0
2019-01-03 10:00:00;5.296897938023442;2.4345122232733827;21.384477755669916;0.0;0.0
2019-01-03 11:00:00;3.684660075964388;2.4345122232733827;17.346608219876373;0.0;0.0
2019-01-03 12:00:00;3.301815695127045;2.4345122232733827;16.22959880282258;0.0;0.0
2019-01-03 13:00:00;2.767915340862916;2.4345122232733827;20.341346292720427;0.0;0.0
