from;r120670124124-electricity-pv_agri_horizontal;r120670124124-electricity-pv_agri_vertical;r120670124124-electricity-pv_ground;r120670124124-electricity-pv_rooftop;r120670124124-electricity-wind;r120670124124-heat_low_decentral-solarthermal_plant
to;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-electricity;r120670124124-heat_low_decentral
type;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.01935945634858165;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.11615673809149765;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.2516729325315808;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.7550187975947443;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.7743782539433279;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 08:00:00;0.0;0.0;0.0;0.5227053214117452;0.0;0.0
2019-01-02 09:00:00;0.0;0.0;0.0;1.3358024880522401;0.0;0.0
2019-01-02 10:00:00;0.0;0.0;0.0;1.393880857097991;0.0;0.0
2019-01-02 11:00:00;0.0;0.0;0.0;1.4713186824923234;0.0;0.0
2019-01-02 12:00:00;0.0;0.0;0.0;2.0521023729498196;0.0;0.0
2019-01-02 13:00:00;0.0;0.0;0.0;0.36782967062308036;0.0;0.0
2019-01-02 14:00:00;0.0;0.0;0.0;0.11615673809149765;0.0;0.0
2019-01-02 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-02 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-03 08:00:00;0.0;0.0;0.0;0.2710323888801644;0.0;0.0
2019-01-03 09:00:00;0.0;0.0;0.0;0.7356593412461607;0.0;0.0
2019-01-03 10:00:00;0.0;0.0;0.0;0.7937377102919115;0.0;0.0
2019-01-03 11:00:00;0.0;0.0;0.0;1.9359456348583217;0.0;0.0
