from;r120670124124-biomass_solid;r120670124124-biomass_solid-boiler_heat_high;r120670124124-electricity;r120670124124-electricity-boiler_heat_high;r120670124124-electricity;r120670124124-electricity-electrolyzer;r120670124124-electricity;r120670124124-electricity-heatpump_central;r120670124124-electricity;r120670124124-electricity-heatpump_decentral;r120670124124-electricity;r120670124124-electricity-heatpump_heat_high;r120670124124-h2;r120670124124-h2-boiler_heat_high
to;r120670124124-biomass_solid-boiler_heat_high;r120670124124-heat_high;r120670124124-electricity-boiler_heat_high;r120670124124-heat_high;r120670124124-electricity-electrolyzer;r120670124124-h2;r120670124124-electricity-heatpump_central;r120670124124-heat_low_central;r120670124124-electricity-heatpump_decentral;r120670124124-heat_low_decentral;r120670124124-electricity-heatpump_heat_high;r120670124124-heat_high;r120670124124-h2-boiler_heat_high;r120670124124-heat_high
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0017068483525268224;0.005844248759051839;1.2924054152356967;4.425196141767025;0.12063880985709378;0.31728006992415664;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0017522883049081238;0.0059665416782121615;1.32681201054846;4.517794895917506;0.12212216367113171;0.3199600688183651;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0017691801761815567;0.006047057842188561;1.3396023359894573;4.5787607844119655;0.12335740269626197;0.3219628210372437;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0018780740825515632;0.006456818695812275;1.5091941920110092;5.18860963213385;0.12162812181937001;0.3174493979485557;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0021749928566101645;0.007505900348161678;1.8692644306340027;6.450831550117943;0.12333342137447702;0.32066689557364025;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.002888534360763146;0.009951000872829036;1.8725200435756004;6.450831550117943;0.13032363153974227;0.33884144200332994;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0031017550357184402;0.010747581198764395;1.8617118470758856;6.450831550117943;0.14316563033280863;0.37079898256197436;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.002953682753556542;0.010193159182523627;1.8692644306340027;6.450831550117943;0.15709864780528776;0.4053145113376424;0.0;0.0
2019-01-01 08:00:00;0.003836250682208132;0.003260813079876912;0.0;0.0;0.0;0.0;0.0024541870997768574;0.010155426218876636;1.5589249758622385;6.450831550117943;0.16503759193533227;0.42579698719315723;0.0;0.0
2019-01-01 09:00:00;0.003836250682208132;0.003260813079876912;0.008280701772926655;0.008197894755197388;0.0;0.0;0.0023367813535426383;0.009835512717060964;1.532628070828687;6.450831550117943;0.16376807199736815;0.42579698719315723;0.0;0.0
2019-01-01 10:00:00;0.003836250682208132;0.003260813079876912;0.008328417724601918;0.008245133547355898;0.0;0.0;0.0022405161050674414;0.009513231382116356;1.5192726213184038;6.450831550117943;0.16189999513047804;0.42579698719315723;0.0;0.0
2019-01-01 11:00:00;0.003836250682208132;0.003260813079876912;0.009476833222677287;0.009382064890450514;0.0;0.0;0.002178779552975569;0.009270706997911046;1.5160591187116201;6.450831550117943;0.16007405533577337;0.42579698719315723;0.0;0.0
2019-01-01 12:00:00;0.003836250682208132;0.003260813079876912;0.011622168310336172;0.01150594662723281;0.0;0.0;0.002142224111981078;0.009095883579471657;1.5192726213184038;6.450831550117943;0.15828884282273503;0.42579698719315723;0.0;0.0
2019-01-01 13:00:00;0.003836250682208132;0.003260813079876912;0.010863060204535141;0.01075442960248979;0.0;0.0;0.0021146743799362435;0.008938728603990502;1.5261016205625604;6.450831550117943;0.15770258784931748;0.42579698719315723;0.0;0.0
2019-01-01 14:00:00;0.003836250682208132;0.003260813079876912;0.004112950560924977;0.0040718210553157275;0.0;0.0;0.0021399785548242433;0.009026429544248657;1.5293578829108447;6.450831550117943;0.15770258784931748;0.42579698719315723;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0021901519315607933;0.009198638112555332;1.5359122738376054;6.450831550117943;0.15736381968315985;0.4201613985540368;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.002288990533354851;0.009572558410489988;1.5425230870678963;6.450831550117943;0.1540667628194153;0.40365491858686814;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0023598864719608903;0.009826567269245147;1.5491910543030605;6.450831550117943;0.1506994481921051;0.38880457633563115;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.002364689687059437;0.009846567856915494;1.5491910543030605;6.450831550117943;0.1483536880076998;0.3797854412997115;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.003237800495646361;0.013398018450984641;1.5589249758622385;6.450831550117943;0.14773327716323173;0.37671985676624087;0.0;0.0
2019-01-01 20:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0018200392616255833;0.006280955491869888;1.8692644306340027;6.450831550117943;0.14841411550311306;0.375487712222876;0.0;0.0
2019-01-01 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0025464900481334887;0.008703902984520265;1.8873117466699658;6.450831550117943;0.14705127774070423;0.37056921990657465;0.0;0.0
