name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-heat_central-shortage;B-heat_central;1000000000;heat_central;1000000000.0;{};B;shortage;shortage
BB-heat_central-shortage;BB-heat_central;1000000000;heat_central;1000000000.0;{};BB;shortage;shortage
