name;capacity_cost;carrier;expandable;from_bus;from_to_capacity;loss;marginal_cost;region;tech;to_bus;to_from_capacity;type
r120640428428-r120640472472-electricity-transmission;;electricity;;r120640428428-electricity;1000.0;0.01;5.81;r120640428428_r120640472472;transmission;r120640472472-electricity;1000.0;link
r120640428428-r120670124124-electricity-transmission;;electricity;;r120640428428-electricity;1000.0;0.01;5.81;r120640428428_r120670124124;transmission;r120670124124-electricity;1000.0;link
r120640428428-r120670201201-electricity-transmission;;electricity;;r120640428428-electricity;1000.0;0.01;5.81;r120640428428_r120670201201;transmission;r120670201201-electricity;1000.0;link
r120640472472-r120670124124-electricity-transmission;;electricity;;r120640472472-electricity;1000.0;0.01;5.81;r120640472472_r120670124124;transmission;r120670124124-electricity;1000.0;link
r120640472472-r120670201201-electricity-transmission;;electricity;;r120640472472-electricity;1000.0;0.01;5.81;r120640472472_r120670201201;transmission;r120670201201-electricity;1000.0;link
r120670124124-r120670201201-electricity-transmission;;electricity;;r120670124124-electricity;1000.0;0.01;5.81;r120670124124_r120670201201;transmission;r120670201201-electricity;1000.0;link
