name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
r120640428428-biomass_gas-commodity;r120640428428-biomass_gas;20079.9464072303;biomass_gas;69.0;"{""full_load_time_max"":1}";r120640428428;commodity;shortage
r120640472472-biomass_gas-commodity;r120640472472-biomass_gas;11493.1727838518;biomass_gas;69.0;"{""full_load_time_max"":1}";r120640472472;commodity;shortage
r120670124124-biomass_gas-commodity;r120670124124-biomass_gas;4340.26469925214;biomass_gas;69.0;"{""full_load_time_max"":1}";r120670124124;commodity;shortage
r120670201201-biomass_gas-commodity;r120670201201-biomass_gas;64564.05708597;biomass_gas;69.0;"{""full_load_time_max"":1}";r120670201201;commodity;shortage
