name;region;type;balanced
r120640428428-electricity;r120640428428;bus;True
r120640428428-heat_low_decentral;r120640428428;bus;True
r120640428428-heat_low_central;r120640428428;bus;True
r120640428428-heat_high;r120640428428;bus;True
r120640428428-residual_waste;r120640428428;bus;True
r120640428428-biomass_solid;r120640428428;bus;True
r120640428428-biomass_gas;r120640428428;bus;True
r120640428428-h2;r120640428428;bus;True
r120640472472-electricity;r120640472472;bus;True
r120640472472-heat_low_decentral;r120640472472;bus;True
r120640472472-heat_low_central;r120640472472;bus;True
r120640472472-heat_high;r120640472472;bus;True
r120640472472-residual_waste;r120640472472;bus;True
r120640472472-biomass_solid;r120640472472;bus;True
r120640472472-biomass_gas;r120640472472;bus;True
r120640472472-h2;r120640472472;bus;True
r120670124124-electricity;r120670124124;bus;True
r120670124124-heat_low_decentral;r120670124124;bus;True
r120670124124-heat_low_central;r120670124124;bus;True
r120670124124-heat_high;r120670124124;bus;True
r120670124124-residual_waste;r120670124124;bus;True
r120670124124-biomass_solid;r120670124124;bus;True
r120670124124-biomass_gas;r120670124124;bus;True
r120670124124-h2;r120670124124;bus;True
r120670201201-electricity;r120670201201;bus;True
r120670201201-heat_low_decentral;r120670201201;bus;True
r120670201201-heat_low_central;r120670201201;bus;True
r120670201201-heat_high;r120670201201;bus;True
r120670201201-residual_waste;r120670201201;bus;True
r120670201201-biomass_solid;r120670201201;bus;True
r120670201201-biomass_gas;r120670201201;bus;True
r120670201201-h2;r120670201201;bus;True
