name;amount;bus;carrier;profile;region;tech;type
r120640428428-electricity-demand_ind;222309.37;r120640428428-electricity;electricity;r120640428428-electricity-demand_ind-profile;r120640428428;demand_ind;load
r120640472472-electricity-demand_ind;33173.4638725242;r120640472472-electricity;electricity;r120640472472-electricity-demand_ind-profile;r120640472472;demand_ind;load
r120670124124-electricity-demand_ind;10737.7847669009;r120670124124-electricity;electricity;r120670124124-electricity-demand_ind-profile;r120670124124;demand_ind;load
r120670201201-electricity-demand_ind;867381.877454026;r120670201201-electricity;electricity;r120670201201-electricity-demand_ind-profile;r120670201201;demand_ind;load
