name;capacity;capacity_cost;capacity_potential;carrier;carrier_cost;efficiency;expandable;from_bus;marginal_cost;output_parameters;region;tech;to_bus;type
B-h2-gt;0;51286.22064895638;;h2;0;0.4;True;B-h2;4.0;{};B;gt;B-electricity;conversion
BB-h2-gt;0;51286.22064895638;;h2;0;0.4;True;BB-h2;4.0;{};BB;gt;BB-electricity;conversion
