name;bus;capacity;carrier;input_parameters;marginal_cost;region;tech;type
B-ch4-excess;B-ch4;1000000000;ch4;{};0;B;excess;excess
BB-ch4-excess;BB-ch4;1000000000;ch4;{};0;BB;excess;excess
