name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-heat_decentral-shortage;B-heat_decentral;1000000000;heat_decentral;1000000000.0;{};B;shortage;shortage
BB-heat_decentral-shortage;BB-heat_decentral;1000000000;heat_decentral;1000000000.0;{};BB;shortage;shortage
