name;capacity;capacity_cost;carrier;carrier_cost;electric_efficiency;electricity_bus;expandable;fuel_bus;heat_bus;marginal_cost;region;tech;thermal_efficiency;type
B-ch4-bpchp;0;96413.15906510004;ch4;0;0.52;B-electricity;TRUE;B-ch4;B-heat_central;4.0;B;bpchp;0.34;backpressure
BB-ch4-bpchp;0;96413.15906510004;ch4;0;0.52;BB-electricity;TRUE;BB-ch4;BB-heat_central;4.0;BB;bpchp;0.34;backpressure
