name;capacity;capacity_cost;capacity_potential;carrier;carrier_cost;efficiency;expandable;from_bus;marginal_cost;output_parameters;region;tech;to_bus;type
r120640428428-h2-boiler_heat_high;0.0;12727.118044693523;;h2;0.0;0.92;true;r120640428428-h2;1.0582;{};r120640428428;boiler_heat_high;r120640428428-heat_high;conversion
r120640472472-h2-boiler_heat_high;0.0;12727.118044693523;;h2;0.0;0.92;true;r120640472472-h2;1.0582;{};r120640472472;boiler_heat_high;r120640472472-heat_high;conversion
r120670124124-h2-boiler_heat_high;0.0;12727.118044693523;;h2;0.0;0.92;true;r120670124124-h2;1.0582;{};r120670124124;boiler_heat_high;r120670124124-heat_high;conversion
r120670201201-h2-boiler_heat_high;0.0;12727.118044693523;;h2;0.0;0.92;true;r120670201201-h2;1.0582;{};r120670201201;boiler_heat_high;r120670201201-heat_high;conversion
