name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-h2-import;B-h2;1000000000;h2;88.8;"{""custom_attributes"": {""emission_factor"": 79.81}}";B;import;shortage
BB-h2-import;BB-h2;1000000000;h2;88.8;"{""custom_attributes"": {""emission_factor"": 79.81}}";BB;import;shortage
