name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-h2-shortage;B-h2;1000000000;h2;1000000000.0;{};B;shortage;shortage
BB-h2-shortage;BB-h2;1000000000;h2;1000000000.0;{};BB;shortage;shortage
