name;capacity;capacity_cost;capacity_potential;carrier;carrier_cost;efficiency;expandable;from_bus;marginal_cost;output_parameters;region;tech;to_bus;type
B-electricity-heatpump_small;0;85215.55162239097;;electricity;0;B-efficiency-profile;True;B-electricity;2.7;"{""custom_attributes"": {""electricity-heat_decentral-B"": 1}}";B;heatpump_small;B-heat_decentral;conversion
BB-electricity-heatpump_small;0;85215.55162239097;;electricity;0;BB-efficiency-profile;True;BB-electricity;2.7;"{""custom_attributes"": {""electricity-heat_decentral-BB"": 1}}";BB;heatpump_small;BB-heat_decentral;conversion
