name;bus;capacity;carrier;input_parameters;marginal_cost;region;tech;type
B-electricity-curtailment;B-electricity;1000000000;electricity;{};0;B;curtailment;excess
BB-electricity-curtailment;BB-electricity;1000000000;electricity;{};0;BB;curtailment;excess
