name;bus;capacity;carrier;input_parameters;marginal_cost;region;tech;type
B-h2-excess;B-h2;1000000000;h2;{};0;B;excess;excess
BB-h2-excess;BB-h2;1000000000;h2;{};0;BB;excess;excess
