name;amount;bus;carrier;profile;region;tech;type
r120640428428-heat_low_central-demand_cts;254.304819122836;r120640428428-heat_low_central;heat_low_central;r120640428428-heat_low_central-demand_cts-profile;r120640428428;demand_cts;load
r120640472472-heat_low_central-demand_cts;4332.12231816783;r120640472472-heat_low_central;heat_low_central;r120640472472-heat_low_central-demand_cts-profile;r120640472472;demand_cts;load
r120670124124-heat_low_central-demand_cts;6.37862121270531;r120670124124-heat_low_central;heat_low_central;r120670124124-heat_low_central-demand_cts-profile;r120670124124;demand_cts;load
r120670201201-heat_low_central-demand_cts;715.192010156989;r120670201201-heat_low_central;heat_low_central;r120670201201-heat_low_central-demand_cts-profile;r120670201201;demand_cts;load
