name;bus;capacity;carrier;input_parameters;marginal_cost;region;tech;type
r120640428428-electricity-export;r120640428428-electricity;;electricity;{};0.0;r120640428428;export;excess
r120640472472-electricity-export;r120640472472-electricity;;electricity;{};0.0;r120640472472;export;excess
r120670124124-electricity-export;r120670124124-electricity;;electricity;{};0.0;r120670124124;export;excess
r120670201201-electricity-export;r120670201201-electricity;;electricity;{};0.0;r120670201201;export;excess
