name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-electricity-shortage;B-electricity;1000000000;electricity;1000000000.0;{};B;shortage;shortage
BB-electricity-shortage;BB-electricity;1000000000;electricity;1000000000.0;{};BB;shortage;shortage
