name;amount;bus;carrier;profile;region;tech;type
B-electricity-bev_charging;2990278.0;B-electricity;electricity;B-electricity-bev_charging-profile;B;bev_charging;load
BB-electricity-bev_charging;12508088.0;BB-electricity;electricity;BB-electricity-bev_charging-profile;BB;bev_charging;load
