name;capacity;capacity_cost;capacity_potential;carrier;carrier_cost;efficiency;expandable;from_bus;marginal_cost;output_parameters;region;tech;to_bus;type
B-ch4-gt;0;51286.22064895638;;ch4;0;0.43;True;B-ch4;4.0;{};B;gt;B-electricity;conversion
BB-ch4-gt;0;51286.22064895638;;ch4;0;0.43;True;BB-ch4;4.0;{};BB;gt;BB-electricity;conversion
