name;bus;capacity;capacity_cost;capacity_potential;carrier;expandable;marginal_cost;output_parameters;profile;region;tech;type
r120640428428-electricity-wind;r120640428428-electricity;0.0;68717.7981423247;0.0;electricity;true;0.0;{};r120640428428-electricity-wind-profile;r120640428428;wind;volatile
r120640472472-electricity-wind;r120640472472-electricity;0.0;68717.7981423247;0.0;electricity;true;0.0;{};r120640472472-electricity-wind-profile;r120640472472;wind;volatile
r120670124124-electricity-wind;r120670124124-electricity;0.0;68717.7981423247;0.0;electricity;true;0.0;{};r120670124124-electricity-wind-profile;r120670124124;wind;volatile
r120670201201-electricity-wind;r120670201201-electricity;0.0;68717.7981423247;92.0395900328712;electricity;true;0.0;{};r120670201201-electricity-wind-profile;r120670201201;wind;volatile
