name;amount;bus;carrier;profile;region;tech;type
B-ch4-demand;68780.0;B-ch4;ch4;B-ch4-demand-profile;B;demand;load
BB-ch4-demand;3549259.0;BB-ch4;ch4;BB-ch4-demand-profile;BB;demand;load
