name;bus;capacity;carrier;input_parameters;marginal_cost;region;tech;type
B-ch4-export;B-ch4;1000000000;ch4;"{""custom_attributes"": {""emission_factor"": 0.0}}";0.0;B;export;excess
BB-ch4-export;BB-ch4;1000000000;ch4;"{""custom_attributes"": {""emission_factor"": 0.0}}";0.0;BB;export;excess
