name;bus;capacity;capacity_cost;capacity_potential;carrier;expandable;marginal_cost;output_parameters;profile;region;tech;type
r120640428428-electricity-pv_rooftop;r120640428428-electricity;0.0;39700.5834021078;92.582;electricity;true;0.0;{};r120640428428-electricity-pv_rooftop-profile;r120640428428;pv_rooftop;volatile
r120640472472-electricity-pv_rooftop;r120640472472-electricity;0.0;39700.5834021078;94.9223099918723;electricity;true;0.0;{};r120640472472-electricity-pv_rooftop-profile;r120640472472;pv_rooftop;volatile
r120670124124-electricity-pv_rooftop;r120670124124-electricity;0.0;39700.5834021078;34.3904399727463;electricity;true;0.0;{};r120670124124-electricity-pv_rooftop-profile;r120670124124;pv_rooftop;volatile
r120670201201-electricity-pv_rooftop;r120670201201-electricity;0.0;39700.5834021078;54.526079940319;electricity;true;0.0;{};r120670201201-electricity-pv_rooftop-profile;r120670201201;pv_rooftop;volatile
