name;bus;capacity;carrier;marginal_cost;output_parameters;region;tech;type
B-electricity-import;B-electricity;0;electricity;82.0;{};B;import;shortage
BB-electricity-import;BB-electricity;15235;electricity;82.0;"{""custom_attributes"": {""emission_factor"": 0.02}}";BB;import;shortage
