name;capacity;capacity_cost;capacity_potential;carrier;carrier_cost;efficiency;expandable;from_bus;marginal_cost;output_parameters;region;tech;to_bus;type
r120640428428-electricity-heatpump_central;0.0;53596.46885567595;;electricity;0.0;r120640428428-electricity-heatpump_central-profile;true;r120640428428-electricity;1.79;{};r120640428428;heatpump_central;r120640428428-heat_low_central;conversion
r120640472472-electricity-heatpump_central;0.0;53596.46885567595;;electricity;0.0;r120640472472-electricity-heatpump_central-profile;true;r120640472472-electricity;1.79;{};r120640472472;heatpump_central;r120640472472-heat_low_central;conversion
r120670124124-electricity-heatpump_central;0.0;53596.46885567595;;electricity;0.0;r120670124124-electricity-heatpump_central-profile;true;r120670124124-electricity;1.79;{};r120670124124;heatpump_central;r120670124124-heat_low_central;conversion
r120670201201-electricity-heatpump_central;0.0;53596.46885567595;;electricity;0.0;r120670201201-electricity-heatpump_central-profile;true;r120670201201-electricity;1.79;{};r120670201201;heatpump_central;r120670201201-heat_low_central;conversion
