id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
0;2045_scenario;r120640428428-biomass_gas-bpchp_heat_high;capacity;biomass_gas;r120640428428;bpchp_heat_high;backpressure;0.0;MW;;Zero
1;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;42005.981393227295;;;
2;2045_scenario;;carrier_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
3;2045_scenario;;electric_efficiency;biomass_gas;ALL;bpchp_heat_high;backpressure;0.3;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";
4;2045_scenario;;expandable;biomass_gas;ALL;bpchp_heat_high;backpressure;true;;;
5;2045_scenario;;marginal_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;2.222;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09c Straw; Large; 40 degree:  Variable O&M"
6;2045_scenario;;thermal_efficiency;biomass_gas;ALL;bpchp_heat_high;backpressure;0.71;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"S.42 Table 12:BHKW (Erdgas;Biomasse)"
7;2045_scenario;r120640428428-biomass_gas-bpchp_heat_low_central;capacity;biomass_gas;r120640428428;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
8;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;67629.89840529014;;;
9;2045_scenario;;carrier_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
10;2045_scenario;;electric_efficiency;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.445;;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas";"(0;43+((0;45-0;43)*(2045-2030)/(2050-2030)))"
11;2045_scenario;;expandable;biomass_gas;ALL;bpchp_heat_low_central;backpressure;true;;;
12;2045_scenario;;marginal_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;6.6138;EUR/MWh;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas";"(7+((6-7)*(2045-2030)/(2050-2030)))*1;0582"
13;2045_scenario;;thermal_efficiency;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.4541;;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas; thermal_efficiency = eletric_effiency/(cb_coefficient+cv_coefficient)";"(0;43+((0;45-0;43)*(2045-2030)/(2050-2030)))/(0;92+((1-0;92)*(2045-2030)/(2050-2030)))"
14;2045_scenario;r120640428428-biomass_gas-bpchp_heat_low_decentral;capacity;biomass_gas;r120640428428;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
15;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_low_decentral;backpressure;67629.89840529014;;;
