from;r120670201201-biomass_gas-bpchp_heat_high;r120670201201-biomass_gas-bpchp_heat_low_central;r120670201201-biomass_gas-bpchp_heat_low_decentral;r120670201201-biomass_solid-bpchp_heat_high;r120670201201-biomass_solid-bpchp_heat_low_central;r120670201201-biomass_solid-bpchp_heat_low_decentral;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-import;r120670201201-electricity-large_battery_storage;r120670201201-electricity-pv_agri_horizontal;r120670201201-electricity-pv_agri_vertical;r120670201201-electricity-pv_ground;r120670201201-electricity-pv_rooftop;r120670201201-electricity-small_battery_storage;r120670201201-electricity-wind;r120670201201-h2-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_high;r120670201201-residual_waste-bpchp_heat_low_central
to;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity-boiler_heat_high;r120670201201-electricity-demand_cts;r120670201201-electricity-demand_hh;r120670201201-electricity-demand_ind;r120670201201-electricity-demand_mob;r120670201201-electricity-electrolyzer;r120670201201-electricity-export;r120670201201-electricity-heatpump_central;r120670201201-electricity-heatpump_decentral;r120670201201-electricity-heatpump_heat_high;r120670201201-electricity-large_battery_storage;r120670201201-electricity-small_battery_storage;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity;r120670201201-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 10:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.057930770225551306;0.12225672599202848;4.307312621469993;1.4727198777742763;87.52694875112766;1.0068471763201998;0.0;0.0;0.31329776675004634;2.6796558519228397;4.242584146956735;0.0;0.0;97.96062524612549;0.0;0.0;0.02723947648747538;0.018283881378796475;0.0;0.0;3.529776491059043;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.01967730596944245;0.15556300342741813;4.493803995920709;1.7406481670701746;87.52694875112766;0.7769481202635758;0.0;0.0;0.305567620693323;2.6739879547037315;4.194735453570004;0.0;0.0;91.08702715352631;0.0;0.0;0.03955043692988517;0.05485164413638957;0.0;0.0;10.58932947317714;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.0;0.21778188304127777;4.549520096806053;1.8566766163187605;87.52694875112766;0.8873706008000479;0.0;0.0;0.3013727341249963;2.6796558519228397;4.147954017284837;0.0;0.0;91.13226702467233;0.0;0.0;0.04013763544643759;0.05625809655014318;0.0;0.0;10.860850741720139;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.0;0.19576627526026746;4.377160117941858;1.6263911445270325;87.52694875112766;0.8681827990346571;0.0;0.0;0.29825455629872794;2.691700673589869;4.132591224628227;0.0;0.0;101.6048377736141;0.0;0.0;0.034390715756778184;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.0;0.0;4.206730389808243;1.2721058033100106;87.52694875112766;1.0845121453706175;0.0;0.0;0.30145380572826297;2.6974439893941153;4.132591224628227;0.0;0.0;101.13825299342557;0.0;0.0;0.005766062904146922;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.0;0.0;3.967469194379872;1.0659560203889107;87.52694875112766;0.9956656993932183;0.0;0.0;0.3075912041575834;2.7090044636343755;4.179024833893712;0.0;0.0;100.6738931139379;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.025495785249208223;0.0;3.9428498056646935;0.9541347095665276;87.52694875112766;0.9015494348501705;0.0;0.0;0.3198448620211396;2.7206644541521703;4.258777216219928;0.0;0.0;100.52150639531565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;0.0;0.07776705303743271;0.0;0.10602403903745992;0.0;4.328774661597802;1.0433703298858774;87.52694875112766;1.0410109333790185;0.0;0.0;0.32854700958738664;2.732425251504414;4.324804769959772;0.0;0.0;101.14209061496702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;0.0;0.0;0.0;0.1098161300176796;0.0;5.057430876655109;1.3263557461837978;87.52694875112766;0.8639710800514621;0.0;0.0;0.3292629236470493;2.732425251504414;4.302544766792565;0.0;0.0;102.02912326594438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;0.0;0.0;0.0;0.0925532271261946;0.0;5.546926517645098;1.5336126707959106;87.52694875112766;0.8004063445509912;0.0;0.0;0.44808571970010097;2.7495937040271574;4.284551648670763;0.0;0.0;102.7975721293915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 20:00:00;0.0;0.0;0.0;0.0;0.0;0.04824893327284361;0.0;5.260298631063427;1.486448434746552;87.52694875112766;0.7257624700881563;0.0;0.0;0.25885964787381593;3.2969628360661773;4.3042972813923175;0.0;0.0;102.81132911908527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.484549628309984;1.2391129809086252;87.52694875112766;0.7439078478893562;0.0;0.0;0.36021836018084596;3.190185313242051;4.264772342299903;0.0;0.0;101.80969522395844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.860453163197271;1.0734845838890368;87.52694875112766;0.6108466275400243;0.0;0.0;0.3145464620651442;2.7857033803293314;4.145537011931031;0.0;0.0;100.3175199800795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.239401849015056;0.8177348531982535;87.52694875112766;0.4455938294947297;0.0;0.0;0.2631813580279364;2.330800969385083;3.8321548856832566;0.0;0.0;98.45581649593197;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
