from;B-ch4-boiler_small;B-electricity-heatpump_small;B-heat_decentral;B-heat_decentral;B-heat_decentral;B-heat_decentral-shortage;B-heat_decentral-storage
to;B-heat_decentral;B-heat_decentral;B-heat_decentral-demand;B-heat_decentral-excess;B-heat_decentral-storage;B-heat_decentral;B-heat_decentral
type;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;419.02007;544.72609;963.7461579418664;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;430.99408;560.2923;991.2863746444896;0.0;0.0;0.0;0.0
2017-01-01 02:00:00;429.66949;558.57033;988.2398181962254;0.0;0.0;0.0;0.0
2017-01-01 03:00:00;480.57035;624.74146;1105.3118052134803;0.0;0.0;0.0;0.0
2017-01-01 04:00:00;567.13695;737.27803;1304.4149771752418;0.0;0.0;0.0;0.0
2017-01-01 05:00:00;771.46548;1002.9051;1774.3706040366208;0.0;0.0;0.0;0.0
2017-01-01 06:00:00;803.37677;1044.3898;1847.7665761119063;0.0;0.0;0.0;0.0
2017-01-01 07:00:00;788.36849;1024.879;1813.2475189935897;0.0;0.0;0.0;0.0
2017-01-01 08:00:00;775.65231;1008.348;1784.0003074421709;0.0;0.0;0.0;0.0
2017-01-01 09:00:00;730.9297;950.20861;1681.1383173444735;0.0;0.0;0.0;0.0
2017-01-01 10:00:00;696.82057;905.86674;1602.6873097976181;0.0;0.0;0.0;0.0
2017-01-01 11:00:00;681.11073;885.44394;1566.5546693977315;0.0;0.0;0.0;0.0
2017-01-01 12:00:00;666.27146;866.1529;1532.4243571673173;0.0;0.0;0.0;0.0
2017-01-01 13:00:00;642.75879;835.58642;1478.3452067800638;0.0;0.0;0.0;0.0
2017-01-01 14:00:00;646.1692;840.01996;1486.1891640509205;0.0;0.0;0.0;0.0
2017-01-01 15:00:00;660.14721;858.19138;1518.3385910688894;0.0;0.0;0.0;0.0
2017-01-01 16:00:00;688.08664;894.51264;1582.5992833250634;0.0;0.0;0.0;0.0
2017-01-01 17:00:00;707.15318;919.29914;1626.452316572899;0.0;0.0;0.0;0.0
2017-01-01 18:00:00;716.27705;931.16016;1647.4372081896452;0.0;0.0;0.0;0.0
2017-01-01 19:00:00;723.69276;940.80058;1664.4933384952635;0.0;0.0;0.0;0.0
2017-01-01 20:00:00;691.84421;899.39747;1591.2416728253381;0.0;0.0;0.0;0.0
2017-01-01 21:00:00;662.35302;861.05892;1523.4119407965395;0.0;0.0;0.0;0.0
2017-01-01 22:00:00;532.72351;692.54057;1225.264076861805;0.0;0.0;0.0;0.0
2017-01-01 23:00:00;458.1872;595.64336;1053.8305644365407;0.0;0.0;0.0;0.0
2017-01-02 00:00:00;440.19954;572.2594;1012.4589408931661;0.0;0.0;0.0;0.0
2017-01-02 01:00:00;458.39737;595.91659;1054.3139585887739;0.0;0.0;0.0;0.0
2017-01-02 02:00:00;470.70979;611.92273;1082.632516224018;0.0;0.0;0.0;0.0
2017-01-02 03:00:00;497.23454;646.4049;1143.639442365493;0.0;0.0;0.0;0.0
2017-01-02 04:00:00;581.86846;756.429;1338.2974558359213;0.0;0.0;0.0;0.0
2017-01-02 05:00:00;792.94732;1030.8315;1823.7788465256003;0.0;0.0;0.0;0.0
2017-01-02 06:00:00;951.95812;1237.5456;2189.5036762229433;0.0;0.0;0.0;0.0
2017-01-02 07:00:00;985.06585;1280.5856;2265.6514588033733;0.0;0.0;0.0;0.0
2017-01-02 08:00:00;976.11226;1268.9459;2245.058193639781;0.0;0.0;0.0;0.0
2017-01-02 09:00:00;936.34105;1217.2434;2153.584404531794;0.0;0.0;0.0;0.0
2017-01-02 10:00:00;893.73303;1161.8529;2055.585964833293;0.0;0.0;0.0;0.0
2017-01-02 11:00:00;855.6144;1112.2987;1967.9131178148907;0.0;0.0;0.0;0.0
2017-01-02 12:00:00;825.42055;1073.0467;1898.4672719866685;0.0;0.0;0.0;0.0
2017-01-02 13:00:00;804.50762;1045.8599;1850.3675248666864;0.0;0.0;0.0;0.0
2017-01-02 14:00:00;806.65289;1048.6488;1855.3016454361725;0.0;0.0;0.0;0.0
2017-01-02 15:00:00;816.58304;1061.558;1878.1410034259904;0.0;0.0;0.0;0.0
2017-01-02 16:00:00;839.74039;1091.6625;1931.402889717744;0.0;0.0;0.0;0.0
2017-01-02 17:00:00;857.38505;1114.6006;1971.9856155902896;0.0;0.0;0.0;0.0
2017-01-02 18:00:00;856.16729;1113.0175;1969.1847562701978;0.0;0.0;0.0;0.0
2017-01-02 19:00:00;818.32277;1063.8196;1882.1423680149765;0.0;0.0;0.0;0.0
2017-01-02 20:00:00;761.83025;990.37932;1752.209571079203;0.0;0.0;0.0;0.0
2017-01-02 21:00:00;689.18028;895.93436;1585.1146454252137;0.0;0.0;0.0;0.0
2017-01-02 22:00:00;571.62018;743.10624;1314.726417732759;0.0;0.0;0.0;0.0
2017-01-02 23:00:00;476.87631;619.9392;1096.8155126404558;0.0;0.0;0.0;0.0
2017-01-03 00:00:00;437.43825;568.66972;1006.1079732795441;0.0;0.0;0.0;0.0
2017-01-03 01:00:00;455.53235;592.19205;1047.7243943256572;0.0;0.0;0.0;0.0
2017-01-03 02:00:00;467.73551;608.05617;1075.7916834768057;0.0;0.0;0.0;0.0
2017-01-03 03:00:00;494.18415;642.4394;1136.6235518169678;0.0;0.0;0.0;0.0
2017-01-03 04:00:00;578.5169;752.07197;1330.588875018001;0.0;0.0;0.0;0.0
2017-01-03 05:00:00;788.91169;1025.5852;1814.4968821333503;0.0;0.0;0.0;0.0
2017-01-03 06:00:00;946.60875;1230.5914;2177.2001276842952;0.0;0.0;0.0;0.0
2017-01-03 07:00:00;978.78406;1272.4193;2251.203334192972;0.0;0.0;0.0;0.0
2017-01-03 08:00:00;969.6898;1260.5967;2230.2865471806836;0.0;0.0;0.0;0.0
2017-01-03 09:00:00;930.23739;1209.3086;2139.546008016694;0.0;0.0;0.0;0.0
2017-01-03 10:00:00;887.96735;1154.3576;2042.3249013017087;0.0;0.0;0.0;0.0
2017-01-03 11:00:00;850.15595;1105.2027;1955.358692777774;0.0;0.0;0.0;0.0
2017-01-03 12:00:00;820.30631;1066.3982;1886.70451141942;0.0;0.0;0.0;0.0
2017-01-03 13:00:00;799.69144;1039.5989;1839.2903029953834;0.0;0.0;0.0;0.0
2017-01-03 14:00:00;801.89009;1042.4571;1844.3471966624877;0.0;0.0;0.0;0.0
2017-01-03 15:00:00;811.81591;1055.3607;1867.176585983745;0.0;0.0;0.0;0.0
2017-01-03 16:00:00;834.97495;1085.4674;1920.442391579257;0.0;0.0;0.0;0.0
2017-01-03 17:00:00;852.64576;1108.4395;1961.0852407630139;0.0;0.0;0.0;0.0
2017-01-03 18:00:00;851.56843;1107.039;1958.607397015811;0.0;0.0;0.0;0.0
2017-01-03 19:00:00;814.27672;1058.5597;1872.8364598338335;0.0;0.0;0.0;0.0
2017-01-03 20:00:00;758.36424;985.87352;1744.2377592149824;0.0;0.0;0.0;0.0
2017-01-03 21:00:00;686.00485;891.80631;1577.8111629474106;0.0;0.0;0.0;0.0
2017-01-03 22:00:00;568.68386;739.28902;1307.9728767140791;0.0;0.0;0.0;0.0
2017-01-03 23:00:00;474.03145;616.24089;1090.2723447451826;0.0;0.0;0.0;0.0
2017-01-04 00:00:00;441.26797;573.64836;1014.9163203857879;0.0;0.0;0.0;0.0
2017-01-04 01:00:00;459.51262;597.36641;1056.8790322445593;0.0;0.0;0.0;0.0
2017-01-04 02:00:00;471.83592;613.3867;1085.2226177553302;0.0;0.0;0.0;0.0
2017-01-04 03:00:00;498.48242;648.02715;1146.5095698043258;0.0;0.0;0.0;0.0
2017-01-04 04:00:00;583.46263;758.50142;1341.9640488640014;0.0;0.0;0.0;0.0
2017-01-04 05:00:00;795.45113;1034.0865;1829.537605338042;0.0;0.0;0.0;0.0
2017-01-04 06:00:00;954.70574;1241.1175;2195.823212270462;0.0;0.0;0.0;0.0
2017-01-04 07:00:00;987.41968;1283.6456;2271.065268739606;0.0;0.0;0.0;0.0
2017-01-04 08:00:00;978.30853;1271.8011;2250.1096159270014;0.0;0.0;0.0;0.0
2017-01-04 09:00:00;938.47888;1220.0225;2158.501433400978;0.0;0.0;0.0;0.0
2017-01-04 10:00:00;895.80778;1164.5501;2060.357890144057;0.0;0.0;0.0;0.0
2017-01-04 11:00:00;857.63899;1114.9307;1972.5696851202429;0.0;0.0;0.0;0.0
2017-01-04 12:00:00;827.46827;1075.7088;1903.177026623751;0.0;0.0;0.0;0.0
2017-01-04 13:00:00;806.61104;1048.5944;1855.205403112318;0.0;0.0;0.0;0.0
2017-01-04 14:00:00;808.80697;1051.4491;1860.2560257347423;0.0;0.0;0.0;0.0
2017-01-04 15:00:00;818.80242;1064.4431;1883.2455600832757;0.0;0.0;0.0;0.0
2017-01-04 16:00:00;918.28659;1193.7726;1936.8571685542759;0.0;175.202;0.0;0.0
2017-01-04 17:00:00;785.31307;1020.907;1977.7428108248566;0.0;0.0;0.0;171.52275
2017-01-04 18:00:00;858.75;1116.375;1975.1249908874024;0.0;0.0;0.0;0.0
2017-01-04 19:00:00;821.01486;1067.3193;1888.3341859916388;0.0;0.0;0.0;0.0
