from;B-ch4;B-ch4;B-ch4;B-ch4;B-ch4;B-ch4;B-ch4;B-ch4-import;B-ch4-shortage
to;B-ch4-boiler_large;B-ch4-boiler_small;B-ch4-bpchp;B-ch4-demand;B-ch4-excess;B-ch4-export;B-ch4-gt;B-ch4;B-ch4
type;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;546.7230326481579;424.6192641310073;0.0;7.851598173515981;0.0;0.0;4067.843734239647;0.0;5047.037629192328
2017-01-01 01:00:00;580.2419630846695;434.00958199219394;0.0;7.851598173515981;0.0;0.0;4067.843734239647;0.0;5089.946877490026
2017-01-01 02:00:00;580.2419630846695;434.00958199219383;0.0;7.851598173515981;0.0;0.0;4067.843734239647;0.0;5089.946877490026
