from;B-ch4-bpchp;B-ch4-gt;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity-import;B-electricity-liion_battery;B-electricity-shortage;B-h2-bpchp;B-h2-gt;B-hydro-ror;B-solar-pv;B-wind-onshore;BB-B-electricity-transmission
to;B-electricity;B-electricity;B-electricity-bev_charging;B-electricity-curtailment;B-electricity-demand;B-electricity-electrolyzer;B-electricity-export;B-electricity-heatpump_large;B-electricity-heatpump_small;B-electricity-liion_battery;B-electricity-pth;BB-B-electricity-transmission;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity;B-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;0.0;1749.1728057230482;256.05282338301515;0.0;675.3003213759117;544.5719939117199;0.0;71.33244513242146;201.91522191997984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;0.0;1749.1728057230482;247.27416008066746;0.0;666.402466933372;544.5719939117199;0.0;71.33244513242146;206.6589007577644;0.0;24.29614594064728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.363307033543744
2017-01-01 02:00:00;0.0;1749.1728057230482;240.5342587592037;0.0;634.0892060630961;544.5719939117199;0.0;71.33244513242146;206.67261567745922;0.0;24.29614594064728;27.67614023850038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
