from;BB-ch4-boiler_large;BB-ch4-bpchp;BB-electricity-heatpump_large;BB-electricity-pth;BB-h2-bpchp;BB-heat_central;BB-heat_central;BB-heat_central;BB-heat_central-shortage;BB-heat_central-storage
to;BB-heat_central;BB-heat_central;BB-heat_central;BB-heat_central;BB-heat_central;BB-heat_central-demand;BB-heat_central-excess;BB-heat_central-storage;BB-heat_central;BB-heat_central
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;485.2532540534389;0.0;0.0;0.0;463.85243
2017-01-01 01:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;506.91526886667145;0.0;0.0;0.0;485.51445
2017-01-01 02:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;511.87411717296317;0.0;0.0;0.0;490.4733
2017-01-01 03:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;562.9974484529969;0.0;0.0;0.0;541.59663
2017-01-01 04:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;670.6418837899946;0.0;0.0;0.0;649.24106
2017-01-01 05:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;957.8200979754012;0.0;0.0;0.0;936.41928
2017-01-01 06:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;1025.735469731068;0.0;0.0;0.0;1004.3347
2017-01-01 07:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;991.1608454833081;0.0;0.0;0.0;969.76003
2017-01-01 08:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;966.8047525216671;0.0;0.0;0.0;945.40393
2017-01-01 09:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;927.6779467517676;0.0;0.0;0.0;906.27713
2017-01-01 10:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;891.9044403402565;0.0;0.0;0.0;870.50362
2017-01-01 11:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;863.4314625817071;0.0;0.0;0.0;842.03064
2017-01-01 12:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;849.1600998003399;0.0;0.0;0.0;827.75928
2017-01-01 13:00:00;12.663207;0.0;8.7376127;-8.3183256e-16;0.0;832.6238829415231;0.0;0.0;0.0;811.22306
