from;r120670124124-biomass_gas-bpchp_heat_low_decentral;r120670124124-biomass_solid-bpchp_heat_low_decentral;r120670124124-electricity-heatpump_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral-solarthermal_plant;r120670124124-heat_low_decentral-storage
to;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral-demand_cts;r120670124124-heat_low_decentral-demand_hh;r120670124124-heat_low_decentral-demand_ind;r120670124124-heat_low_decentral-storage;r120670124124-heat_low_decentral;r120670124124-heat_low_decentral
type;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;4.425196141767025;0.9712642692104622;3.389346672093128;0.06458520046343517;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;4.517794895917506;0.9836844502739449;3.4695252451801255;0.06458520046343517;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;4.5787607844119655;0.9683089759842209;3.5458666079643093;0.06458520046343517;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;5.141042109380063;1.0409172436757437;3.7835244195005653;0.06458520046343517;0.25201524574031897;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;6.497400154893898;1.1493420054832275;4.4694518955551;0.06458520046343517;0.8140210533921364;0.0;0.0
2019-01-01 05:00:00;0.0;0.4028927286801387;6.497400154893898;1.301458884467712;6.168736258044457;0.06458520046343517;0.0;0.0;0.6344874594015668
2019-01-01 06:00:00;0.0;1.2450441063419806;6.497400154893898;1.2085431388061132;6.864813219162011;0.06458520046343517;0.0;0.0;0.39549729719568116
2019-01-01 07:00:00;0.0;1.2207396003753015;6.497400154893898;1.2254993692535907;6.428055185552174;0.06458520046343517;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;1.192168645915248;6.497400154893898;1.212462742439329;6.412520857906382;0.06458520046343517;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.9499339204098991;6.497400154893898;1.1168687297973483;6.265880145043014;0.06458520046343517;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.7059062996226251;6.497400154893898;1.0684910288502372;6.0702302252028515;0.06458520046343517;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.5222697000327257;6.497400154893898;1.095752479495514;5.859332174967675;0.06458520046343517;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.3898954721954402;6.497400154893898;1.0336776017374107;5.789032824888492;0.06458520046343517;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.2708995807078356;6.497400154893898;1.0088629139029595;5.6948516212353395;0.06458520046343517;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.33730569695308255;6.497400154893898;1.0037241802401657;5.76639647114338;0.06458520046343517;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.46769999115036587;6.497400154893898;1.0577771116532664;5.842737833927563;0.06458520046343517;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.7508280248751431;6.497400154893898;1.0638311526196502;6.119811826685956;0.06458520046343517;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.9431605329664539;6.497400154893898;1.1098091451007484;6.266166342296168;0.06458520046343517;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.9583047417503154;6.497400154893898;1.0708614367761418;6.320258259404636;0.06458520046343517;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.8724947815227901;6.497400154893898;1.0483495113447232;6.25696022460853;0.06458520046343517;0.0;0.0;0.0
2019-01-01 20:00:00;0.0;0.6570005581729097;6.497400154893898;1.046631245957128;6.043184266646245;0.06458520046343517;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.09309239485554599;6.497400154893898;1.0629577241327055;5.462949625153303;0.06458520046343517;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;5.619453743177432;0.9940126404166113;4.560855902297385;0.06458520046343517;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;4.582658296065112;0.935281306072946;3.582791789528731;0.06458520046343517;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;5.042534841878781;1.1167785585896686;3.8611710828256767;0.06458520046343517;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;5.147621194131962;1.1309579353089312;3.9520780583595956;0.06458520046343517;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;5.354592739961709;1.1134019583186336;4.039460318543253;0.06458520046343517;0.13714526263638674;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;6.497400154893898;1.197301773009579;4.309537708627566;0.06458520046343517;0.9259754727933176;0.0;0.0
2019-01-02 04:00:00;0.0;0.0;6.497400154893898;1.3208727785671406;5.089173827422553;0.06458520046343517;0.022768348440769692;0.0;0.0
2019-01-02 05:00:00;0.0;1.2450441063419806;6.497400154893898;1.4955179748518987;7.018242219001666;0.06458520046343517;0.0;0.0;0.8359011330811201
2019-01-02 06:00:00;1.3377580608656285;1.2450441063419806;6.497400154893898;1.389471174072813;7.824459258228657;0.06458520046343517;0.0;0.0;0.1983133106633985
2019-01-02 07:00:00;1.057992385192562;1.2450441063419806;6.497400154893898;1.4103767704057342;7.3254746755592715;0.06458520046343517;0.0;0.0;0.0
2019-01-02 08:00:00;1.021796388542719;1.2450441063419806;6.497400154893898;1.394202679167809;7.305452770147355;0.06458520046343517;0.0;0.0;0.0
