from;r120640428428-biomass_gas-bpchp_heat_high;r120640428428-biomass_gas-bpchp_heat_low_central;r120640428428-biomass_gas-bpchp_heat_low_decentral;r120640428428-biomass_solid-bpchp_heat_high;r120640428428-biomass_solid-bpchp_heat_low_central;r120640428428-biomass_solid-bpchp_heat_low_decentral;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity-import;r120640428428-electricity-large_battery_storage;r120640428428-electricity-pv_agri_horizontal;r120640428428-electricity-pv_agri_vertical;r120640428428-electricity-pv_ground;r120640428428-electricity-pv_rooftop;r120640428428-electricity-small_battery_storage;r120640428428-electricity-wind;r120640428428-h2-bpchp_heat_high;r120640428428-r120640472472-electricity-transmission;r120640428428-r120670124124-electricity-transmission;r120640428428-r120670201201-electricity-transmission;r120640428428-residual_waste-bpchp_heat_high;r120640428428-residual_waste-bpchp_heat_low_central
to;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity-boiler_heat_high;r120640428428-electricity-demand_cts;r120640428428-electricity-demand_hh;r120640428428-electricity-demand_ind;r120640428428-electricity-demand_mob;r120640428428-electricity-electrolyzer;r120640428428-electricity-export;r120640428428-electricity-heatpump_central;r120640428428-electricity-heatpump_decentral;r120640428428-electricity-heatpump_heat_high;r120640428428-electricity-large_battery_storage;r120640428428-electricity-small_battery_storage;r120640428428-r120640472472-electricity-transmission;r120640428428-r120670124124-electricity-transmission;r120640428428-r120670201201-electricity-transmission;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity;r120640428428-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7103627230379015;1.2350023303079367;22.433095895431382;1.5244656370084457;0.0;0.0;0.0;2.3097310206230426;0.0;0.0;0.0;0.0;0.0;0.0;28.959852974904887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14904196620578594;0.10376266529803989
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6245608410334835;0.9523707995398643;22.433095895431382;0.3644088541992908;0.0;0.0;0.0;2.369126233265135;0.0;0.0;0.0;0.0;0.0;0.0;27.489499065412783;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15030089275833505;0.10376266529803989
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5182410162474682;0.7286045944903834;22.433095895431382;0.21696117093002162;0.0;0.0;0.0;2.3844897582671183;0.0;0.0;0.0;0.0;0.0;0.0;27.02638808664327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15124168342506691;0.10376266529803989
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.408605444591691;0.65453564159944;22.433095895431382;0.13393322226061685;0.0;0.0;0.0;2.6301229188613613;0.0;0.0;0.0;0.0;0.0;0.0;27.0074089495862;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14912150786024983;0.10376266529803989
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3744823755971802;0.610484106459037;22.433095895431382;0.08609885336218906;0.0;0.0;0.0;3.2713970476577776;0.0;0.0;0.0;0.0;0.0;0.0;27.52116268935514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15063292385438923;0.10376266529803989
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.12695067090092987;0.0;1.4497862996973263;0.599178845228314;22.433095895431382;0.05358426202290391;0.0;0.0;0.0;3.2770946912821457;0.0;0.0;0.0;0.0;0.0;0.0;27.422856260279787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15917039718332165;0.10376266529803989
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.317090437885673;0.0;1.6763114486226225;0.6256877336313886;22.433095895431382;0.17179609914678792;0.0;0.0;0.0;3.2581792818086557;0.0;0.0;0.0;0.0;0.0;0.0;27.570034938511263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17418241694586167;0.10376266529803989
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.29927120591743456;0.0;1.8379539119318207;0.7176891698538233;22.433095895431382;0.35934286067223675;0.0;0.0;0.0;3.2713970476577776;0.018841923007623967;0.0;0.0;0.0;0.0;0.0;28.058323196204665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17696374113452545;0.10376266529803989
