from;BB-electricity-electrolyzer;BB-h2;BB-h2;BB-h2;BB-h2;BB-h2;BB-h2;BB-h2-cavern;BB-h2-import;BB-h2-shortage
to;BB-h2;BB-h2-bpchp;BB-h2-cavern;BB-h2-demand;BB-h2-excess;BB-h2-export;BB-h2-gt;BB-h2;BB-h2;BB-h2
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;1569.3043;0.0;876.61252;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;1732.1705;0.0;1039.4787;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 02:00:00;2011.2004;0.0;1318.5086;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 03:00:00;2086.6584;0.0;1393.9667;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 04:00:00;2506.7189;0.0;1814.0271;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 05:00:00;2651.45;0.0;1958.7583;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 06:00:00;3332.9592;0.0;2640.2674;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 07:00:00;3646.4005;0.0;2953.7087;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 08:00:00;5035.9346;0.0;4343.2428;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 09:00:00;7204.7906;0.0;6512.0989;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 10:00:00;8172.007;0.0;7479.3153;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 11:00:00;8092.961;0.0;7400.2692;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 12:00:00;6846.3497;0.0;6153.6579;692.6917808219177;0.0;0.0;0.0;0.0;0.0;0.0
