from;r120640428428-r120640472472-electricity-transmission;r120640472472-biomass_gas-bpchp_heat_high;r120640472472-biomass_gas-bpchp_heat_low_central;r120640472472-biomass_gas-bpchp_heat_low_decentral;r120640472472-biomass_solid-bpchp_heat_high;r120640472472-biomass_solid-bpchp_heat_low_central;r120640472472-biomass_solid-bpchp_heat_low_decentral;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity-import;r120640472472-electricity-large_battery_storage;r120640472472-electricity-pv_agri_horizontal;r120640472472-electricity-pv_agri_vertical;r120640472472-electricity-pv_ground;r120640472472-electricity-pv_rooftop;r120640472472-electricity-small_battery_storage;r120640472472-electricity-wind;r120640472472-h2-bpchp_heat_high;r120640472472-r120670124124-electricity-transmission;r120640472472-r120670201201-electricity-transmission;r120640472472-residual_waste-bpchp_heat_high;r120640472472-residual_waste-bpchp_heat_low_central
to;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640428428-r120640472472-electricity-transmission;r120640472472-electricity-boiler_heat_high;r120640472472-electricity-demand_cts;r120640472472-electricity-demand_hh;r120640472472-electricity-demand_ind;r120640472472-electricity-demand_mob;r120640472472-electricity-electrolyzer;r120640472472-electricity-export;r120640472472-electricity-heatpump_central;r120640472472-electricity-heatpump_decentral;r120640472472-electricity-heatpump_heat_high;r120640472472-electricity-large_battery_storage;r120640472472-electricity-small_battery_storage;r120640472472-r120670124124-electricity-transmission;r120640472472-r120670201201-electricity-transmission;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity;r120640472472-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4082919570592782;2.1088060024615873;3.347512955643587;2.4695319825261146;0.0;0.0;0.7773116129188644;2.327462261534758;0.1737002083760549;0.0;0.0;0.0;0.0;13.612616980520247;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2874778282499415;1.6262036186911801;3.347512955643587;0.6934204758706831;0.0;0.0;0.7971970918315388;2.387004279115069;0.17583599591324148;0.0;0.0;0.0;0.0;11.314652245315239;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1377732214672793;1.2441156624370922;3.347512955643587;0.292809581379414;0.0;0.0;0.8017745169458759;2.4007102163885587;0.17761453862527196;0.0;0.0;0.0;0.0;10.40231069288708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9833998468200384;1.1176405549662265;3.347512955643587;0.16326291160272235;0.0;0.0;0.8520923771361102;2.644848321438844;0.1751246562315988;0.0;0.0;0.0;0.0;10.283881623839129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9353525457985945;1.04242114894408;3.347512955643587;0.09705510531158093;0.0;0.0;0.9806871576010596;3.2740198033795305;0.17758000943357888;0.0;0.0;0.0;0.0;10.854628726112011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.13743576516875766;0.0;0.0;2.0413849284637573;1.0231170535932637;3.347512955643587;0.05324708932363903;0.0;0.0;1.2791607825574263;3.279722014938392;0.18764477187393544;0.0;0.0;0.0;0.0;11.074353831225242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.32095890094321045;0.0;0.0;2.360345747055193;1.0683818288986264;3.347512955643587;0.29338715242190067;0.0;0.0;1.3524574174222257;3.260791440537593;0.20613515543261826;0.0;0.0;0.0;0.0;11.568052796468532;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.3011904724453658;0.0;0.0;2.587947903640644;1.2254772255466486;3.347512955643587;0.7267226993662826;0.0;0.0;1.296369660527918;3.2740198033795305;0.22619642792978328;0.0;0.0;0.0;0.0;12.38305620358903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
