from;B-electricity-electrolyzer;B-h2;B-h2;B-h2;B-h2;B-h2;B-h2;B-h2-cavern;B-h2-import;B-h2-shortage
to;B-h2;B-h2-bpchp;B-h2-cavern;B-h2-demand;B-h2-excess;B-h2-export;B-h2-gt;B-h2;B-h2;B-h2
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 02:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 03:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 04:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 05:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 06:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 07:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 08:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 09:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 10:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 11:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 12:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 13:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 14:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 15:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 16:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 17:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 18:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 19:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 20:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 21:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 22:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-01 23:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 00:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 01:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 02:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 03:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 04:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 05:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 06:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 07:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 08:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 09:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 10:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 11:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 12:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 13:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 14:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 15:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 16:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 17:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 18:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 19:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 20:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 21:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 22:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-02 23:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 00:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 01:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 02:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 03:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 04:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 05:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 06:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 07:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 08:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 09:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 10:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 11:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 12:00:00;408.429;0.0;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 13:00:00;775.71561;367.28662;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 14:00:00;702.35804;293.92905;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 15:00:00;684.46062;276.03162;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 16:00:00;627.82777;219.39877;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 17:00:00;632.29189;223.8629;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 18:00:00;614.45247;206.02348;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 19:00:00;729.65169;321.2227;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 20:00:00;848.7714;440.3424;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 21:00:00;961.06841;552.63942;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
2017-01-03 22:00:00;1161.2849;752.85595;0.0;408.42899543378996;0.0;0.0;0.0;0.0;0.0;0.0
