from;BB-B-electricity-transmission;BB-ch4-bpchp;BB-ch4-gt;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity-import;BB-electricity-liion_battery;BB-electricity-shortage;BB-h2-bpchp;BB-h2-gt;BB-hydro-ror;BB-solar-pv;BB-wind-onshore
to;BB-electricity;BB-electricity;BB-electricity;BB-B-electricity-transmission;BB-electricity-bev_charging;BB-electricity-curtailment;BB-electricity-demand;BB-electricity-electrolyzer;BB-electricity-export;BB-electricity-heatpump_large;BB-electricity-heatpump_small;BB-electricity-liion_battery;BB-electricity-pth;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity;BB-electricity
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;0.0;0.0;0.0;1768.3587;2279.489829965257;0.0;1526.6256035236613;2092.4057;0.0;1.5886569;488.86369;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;8153.8178
2017-01-01 01:00:00;0.0;0.0;0.0;1759.5747;1789.7393732074465;0.0;1506.510564364889;2309.5607;0.0;1.5886569;581.45336;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;7944.9129
2017-01-01 02:00:00;0.0;0.0;0.0;1720.0715;1677.234328325332;0.0;1433.4612116304004;2681.6005;0.0;1.5886569;581.35741;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;8091.7991
2017-01-01 03:00:00;0.0;0.0;0.0;1740.6267;1652.842229381238;0.0;1408.0527411140565;2782.2112;0.0;1.5886569;653.61417;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;8235.4212
2017-01-01 04:00:00;0.0;0.0;0.0;1765.8129;1668.0276175257625;0.0;1337.967709939808;3342.2918;0.0;1.5886569;769.54643;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;8881.7206
2017-01-01 05:00:00;0.0;0.0;0.0;1863.7274;1723.6780851681917;0.0;1245.8620043180615;3535.2667;0.0;1.5886569;1063.4876;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;9430.0959
2017-01-01 06:00:00;0.0;0.0;0.0;1888.3417;1256.667268897025;0.0;1302.8193257255323;4443.9456;0.0;1.5886569;1091.8873;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;9981.7353
2017-01-01 07:00:00;0.0;0.0;0.0;1903.668;1311.9676047384435;0.0;1370.9987216110549;4861.8673;0.0;1.5886569;1083.5544;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;332.96181;10197.168
2017-01-01 08:00:00;0.0;0.0;0.0;1990.0221;1490.1240164391936;0.0;1567.2791563498113;6714.5794;0.0;1.5886569;1069.2525;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;3033.652;9795.6794
2017-01-01 09:00:00;0.0;0.0;0.0;2036.3759;1575.639305331302;0.0;1683.099434453479;9606.3875;0.0;1.5886569;1003.6932;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;6548.2488;9355.0207
2017-01-01 10:00:00;0.0;0.0;0.0;2133.133;1622.2494243033746;0.0;1800.4018733372664;10896.009;0.0;1.5886569;945.24415;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;8767.9942;8627.1178
2017-01-01 11:00:00;0.0;0.0;0.0;1862.701;1696.1832115267066;0.0;1105.2684674609586;10790.615;0.0;1.5886569;908.61579;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;8583.0154;7778.4418
2017-01-01 12:00:00;0.0;0.0;0.0;1599.8187;1810.5392248797646;0.0;476.6205594357506;9128.4663;0.0;1.5886569;883.39575;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;6585.2446;7311.67
2017-01-01 13:00:00;0.0;0.0;0.0;1684.7639;1876.4086078912587;0.0;664.0080294937866;5616.4774;0.0;1.5886569;846.17682;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;3514.5968;7171.3121
2017-01-01 14:00:00;0.0;0.0;0.0;1821.1106;1997.9792548727262;0.0;845.6785936856453;3878.4074;0.0;1.5886569;844.27758;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;702.91937;8682.6082
2017-01-01 15:00:00;0.0;0.0;0.0;1839.8048;1600.7057722916788;0.0;926.1387503207343;4574.3302;0.0;1.5886569;863.15387;0.0;-8.4023491e-16;0.0;0.0;0.0;0.0;0.0;3.5145;0.0;9802.2076
