from;B-ch4-boiler_large;B-ch4-bpchp;B-electricity-heatpump_large;B-electricity-pth;B-h2-bpchp;B-heat_central;B-heat_central;B-heat_central;B-heat_central-shortage;B-heat_central-storage
to;B-heat_central;B-heat_central;B-heat_central;B-heat_central;B-heat_central;B-heat_central-demand;B-heat_central-excess;B-heat_central-storage;B-heat_central;B-heat_central
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2017-01-01 00:00:00;574.86919;0.0;396.65974;0.0;0.0;971.5289317659838;0.0;0.0;0.0;0.0
2017-01-01 01:00:00;596.91449;0.0;411.871;0.0;0.0;1008.785491290998;0.0;0.0;0.0;0.0
2017-01-01 02:00:00;603.45164;0.0;416.38163;0.0;0.0;1019.8332743176152;0.0;0.0;0.0;0.0
2017-01-01 03:00:00;659.45876;0.0;455.02654;0.0;0.0;1114.485304683006;0.0;0.0;0.0;0.0
2017-01-01 04:00:00;794.67534;0.0;548.32599;0.0;0.0;1343.0013328068933;0.0;0.0;0.0;0.0
2017-01-01 05:00:00;1132.4873;0.0;781.41622;0.0;0.0;1913.9035065669677;0.0;0.0;0.0;0.0
2017-01-01 06:00:00;1250.9288;0.0;863.14088;0.0;0.0;2114.0697000088035;0.0;0.0;0.0;0.0
2017-01-01 07:00:00;1202.2528;0.0;829.55444;0.0;0.0;2031.8072551045068;0.0;0.0;0.0;0.0
2017-01-01 08:00:00;1169.7678;0.0;807.13975;0.0;0.0;1976.9075011095745;0.0;0.0;0.0;0.0
2017-01-01 09:00:00;1120.9077;0.0;773.42632;0.0;0.0;1894.334025156618;0.0;0.0;0.0;0.0
2017-01-01 10:00:00;1075.1419;0.0;741.84792;0.0;0.0;1816.9898327402384;0.0;0.0;0.0;0.0
2017-01-01 11:00:00;1042.0881;0.0;719.04076;0.0;0.0;1761.1288196575947;0.0;0.0;0.0;0.0
2017-01-01 12:00:00;1024.2356;0.0;706.72256;0.0;0.0;1730.9581621400102;0.0;0.0;0.0;0.0
2017-01-01 13:00:00;1010.9065;0.0;697.52551;0.0;0.0;1708.4320346065012;0.0;0.0;0.0;0.0
