from;r120640472472-biomass_gas-bpchp_heat_low_central;r120640472472-biomass_solid-bpchp_heat_low_central;r120640472472-electricity-heatpump_central;r120640472472-heat_low_central;r120640472472-heat_low_central;r120640472472-heat_low_central;r120640472472-heat_low_central;r120640472472-heat_low_central-storage;r120640472472-residual_waste-bpchp_heat_low_central
to;r120640472472-heat_low_central;r120640472472-heat_low_central;r120640472472-heat_low_central;r120640472472-heat_low_central-demand_cts;r120640472472-heat_low_central-demand_hh;r120640472472-heat_low_central-demand_ind;r120640472472-heat_low_central-storage;r120640472472-heat_low_central;r120640472472-heat_low_central
type;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;2.661514962634192;0.8711791605887508;1.76702352628455;0.02331227576089113;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;2.7144560976863894;0.8823194889795408;1.8088243329459572;0.02331227576089113;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;2.740465298921004;0.8685283991495151;1.8486246240105977;0.02331227576089113;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;2.929493592593947;0.9336546595345737;1.9725266572984823;0.02331227576089113;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;3.384351380881257;1.030906659811762;2.3301324453086036;0.02331227576089113;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;4.4067088959103335;1.1673484698793861;3.216048150270056;0.02331227576089113;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;4.6862649513680115;1.0840073403052999;3.57894533530182;0.02331227576089113;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;4.473771698481845;1.099216295351068;3.351243127369886;0.02331227576089113;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;4.45397968167963;1.087523043612085;3.343144362306654;0.02331227576089113;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;4.291785669564311;1.0017796323379848;3.2666937614654348;0.02331227576089113;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;4.1463917355273985;0.9583870704592512;3.1646923893072563;0.02331227576089113;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;4.060893067486025;0.9828393317463773;3.054741459978757;0.02331227576089113;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;3.9685644612732833;0.9271610353102141;3.018091150202178;0.02331227576089113;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;3.8972058061071118;0.9049034071824312;2.968990123163789;0.02331227576089113;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;3.9298962460782114;0.9002942005836123;3.0062897697337077;0.02331227576089113;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;4.018179518457613;0.9487771818983739;3.046090060798348;0.02331227576089113;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;0.0;4.168061229019185;0.9542073768457815;3.190541576412512;0.02331227576089113;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;4.285602756258234;0.9954475111377592;3.2668429693595833;0.02331227576089113;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;4.278869085643253;0.960513216815712;3.2950435930666493;0.02331227576089113;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;5.932420294033528;0.9403210601367453;3.2620433934785606;0.02331227576089113;1.7067435646573301;0.0;0.0
2019-01-01 20:00:00;0.0;0.0;2.6374433411632623;0.938779855497095;3.150592077452486;0.02331227576089113;0.0;1.4752408675472097;0.0
2019-01-01 21:00:00;0.0;0.0;3.8248250908921575;0.9534239518602116;2.848088863271055;0.02331227576089113;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;3.2926812648268995;0.8915833981998432;2.377785590866165;0.02331227576089113;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;2.730091814189068;0.83890410567798;1.867875432750197;0.02331227576089113;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;3.0380184907326298;1.0016987529321362;2.0130074620396026;0.02331227576089113;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;3.0981307564717495;1.014416998521465;2.0604014821893935;0.02331227576089113;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;3.1279402791523845;0.9986700985452562;2.105957904846237;0.02331227576089113;0.0;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;3.3439983976620065;1.0739243547276909;2.246761767173424;0.02331227576089113;0.0;0.0;0.0
2019-01-02 04:00:00;0.0;0.0;3.861296325709639;1.184761835635184;2.653222214313564;0.02331227576089113;0.0;0.0;0.0
2019-01-02 05:00:00;0.0;0.0;5.023657765692162;1.3414105051305552;3.658934984800716;0.02331227576089113;0.0;0.0;0.0
2019-01-02 06:00:00;0.0;0.0;5.3488569996199695;1.2462914259936828;4.079253297865395;0.02331227576089113;0.0;0.0;0.0
2019-01-02 07:00:00;0.0;0.0;5.1074645609981895;1.2650427797109636;3.819109505526334;0.02331227576089113;0.0;0.0;0.0
2019-01-02 08:00:00;0.0;0.0;5.082518801310229;1.2505353673880584;3.8086711581612795;0.02331227576089113;0.0;0.0;0.0
2019-01-02 09:00:00;0.0;0.0;4.895681000640299;1.1511671766013873;3.7212015482780205;0.02331227576089113;0.0;0.0;0.0
2019-01-02 10:00:00;0.0;0.0;4.728959249955362;1.1006334794228865;3.6050134947715837;0.02331227576089113;0.0;0.0;0.0
2019-01-02 11:00:00;0.0;0.0;4.630275403340843;1.1276891944876148;3.4792739330923363;0.02331227576089113;0.0;0.0;0.0
