from;r120640472472-biomass_gas-bpchp_heat_low_decentral;r120640472472-biomass_solid-bpchp_heat_low_decentral;r120640472472-electricity-heatpump_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral-solarthermal_plant;r120640472472-heat_low_decentral-storage
to;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral-demand_cts;r120640472472-heat_low_decentral-demand_hh;r120640472472-heat_low_decentral-demand_ind;r120640472472-heat_low_decentral-storage;r120640472472-heat_low_decentral;r120640472472-heat_low_decentral
type;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;7.969230783495011;2.608524799587011;5.2909032932467595;0.06980269066124054;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;8.12774957038681;2.6418816843674966;5.416065195358072;0.06980269066124054;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;8.205627519616094;2.600587767498959;5.535237061455894;0.06980269066124054;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;9.259911630756097;2.7955918183350437;5.906230240783419;0.06980269066124054;0.4882868809763922;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;11.13522462494805;3.0867882403902343;6.976989975061099;0.06980269066124054;1.001643718835476;0.0;0.0
2019-01-01 05:00:00;0.0;1.160866729547811;11.13522462494805;3.4953285973719255;9.629639615089017;0.06980269066124054;0.0;0.0;0.8986795486263219
2019-01-01 06:00:00;0.0;2.3582304871326243;11.13522462494805;3.2457847455967297;10.716243094235534;0.06980269066124054;0.0;0.0;0.53837541841283
2019-01-01 07:00:00;0.0;2.2603488128896956;11.13522462494805;3.2913240998506574;10.034446647325847;0.06980269066124054;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;2.2010866438686545;11.13522462494805;3.2563116264940435;10.01019695166142;0.06980269066124054;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;1.7154378564695136;11.13522462494805;2.999574752119632;9.78128503863669;0.06980269066124054;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;1.2800926372513501;11.13522462494805;2.8696467431647403;9.475867828373419;0.06980269066124054;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;1.0240885843457939;11.13522462494805;2.9428628310361993;9.146647687596403;0.06980269066124054;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.7476340157419266;11.13522462494805;2.776148309359239;9.036907640669495;0.06980269066124054;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.533968641170361;11.13522462494805;2.7095034932549726;8.889887082202197;0.06980269066124054;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.6318518633957364;11.13522462494805;2.6957023943956817;9.001571403286864;0.06980269066124054;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.8961937069663914;11.13522462494805;2.8408723718685134;9.120743269384686;0.06980269066124054;0.0;0.0;0.0
2019-01-01 16:00:00;0.0;1.3449764335184842;11.13522462494805;2.857131711884558;9.553266655920735;0.06980269066124054;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;1.6969246924474337;11.13522462494805;2.9806148229431626;9.781731803791079;0.06980269066124054;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;1.6767624255039042;11.13522462494805;2.8760129485898465;9.866171411200867;0.06980269066124054;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;1.517491420470554;11.13522462494805;2.81555266230541;9.767360692451952;0.06980269066124054;0.0;0.0;0.0
2019-01-01 20:00:00;0.0;1.1791640067096427;11.13522462494805;2.8109379163316315;9.43364802466482;0.06980269066124054;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.31724296728893187;11.13522462494805;2.8547859446808355;8.527878956894906;0.06980269066124054;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;9.85909801909401;2.6696201083742768;7.119675220058491;0.06980269066124054;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;8.174566753466564;2.511885342456423;5.592878720348899;0.06980269066124054;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;9.096575002235346;2.9993325792745087;6.027439732299595;0.06980269066124054;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;9.276565919182774;3.03741413646486;6.169349092056673;0.06980269066124054;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;9.730691295021918;2.990264042703667;6.305756232696417;0.06980269066124054;0.36486832896059107;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;11.13522462494805;3.2155938054056263;6.727357647622237;0.06980269066124054;1.1224704812589454;0.0;0.0
2019-01-02 04:00:00;0.0;0.45752002780039547;11.13522462494805;3.5474684997860053;7.9444002542196595;0.06980269066124054;0.031073208081538573;0.0;0.0
2019-01-02 05:00:00;0.10000916793431358;2.3582304871326243;11.13522462494805;4.016513166700254;10.955751789883319;0.06980269066124054;0.0;0.0;1.4486033672298255
2019-01-02 06:00:00;2.522339071430352;2.3582304871326243;11.13522462494805;3.731703235440272;12.214288257409512;0.06980269066124054;0.0;0.0;0.0
2019-01-02 07:00:00;1.7995507047387491;2.3582304871326243;11.13522462494805;3.7878494030831007;11.435353723075082;0.06980269066124054;0.0;0.0;0.0
2019-01-02 08:00:00;1.724856961207733;2.3582304871326243;11.13522462494805;3.74441064038754;11.404098742239626;0.06980269066124054;0.0;0.0;0.0
