from;r120670201201-electricity-large_battery_storage;r120670201201-electricity-small_battery_storage;r120670201201-heat_low_central-storage;r120670201201-heat_low_decentral-storage
to;nan;nan;nan;nan
type;storage_content;storage_content;storage_content;storage_content
2019-01-01 00:00:00;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.032996955142221396
2019-01-01 04:00:00;0.0;0.0;0.0;1.5382866230588006
2019-01-01 05:00:00;0.0;0.0;0.0;0.6560474623799415
2019-01-01 06:00:00;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.04510251122186659
2019-01-01 13:00:00;0.0;0.0;0.0;0.2566996963949016
2019-01-01 14:00:00;0.0;0.0;0.0;0.36811596712297945
2019-01-01 15:00:00;0.0;0.0;0.0;0.2969597121103141
2019-01-01 16:00:00;0.0;0.0;0.0;0.0
2019-01-01 17:00:00;0.0;0.0;0.0;0.0
2019-01-01 18:00:00;0.0;0.0;0.0;0.0
2019-01-01 19:00:00;0.0;0.0;0.4867647581845329;0.0
2019-01-01 20:00:00;0.0;0.0;0.0;0.0
2019-01-01 21:00:00;0.0;0.0;0.0;0.0
2019-01-01 22:00:00;0.0;0.0;0.0;0.0
2019-01-01 23:00:00;0.0;0.0;0.0;0.0
2019-01-02 00:00:00;0.0;0.0;0.0;0.0
2019-01-02 01:00:00;0.0;0.0;0.0;0.0
2019-01-02 02:00:00;0.0;0.0;0.0;0.0
2019-01-02 03:00:00;0.0;0.0;0.0;0.8859888928588794
2019-01-02 04:00:00;0.0;0.0;0.0;1.5382866230588006
2019-01-02 05:00:00;0.0;0.0;0.0;0.7793646862261754
2019-01-02 06:00:00;0.0;0.0;0.0;0.0
2019-01-02 07:00:00;0.0;0.0;0.0;0.0
2019-01-02 08:00:00;0.0;0.0;0.0;0.0
2019-01-02 09:00:00;0.0;0.0;0.0;0.0
2019-01-02 10:00:00;0.0;0.0;0.0;0.0
2019-01-02 11:00:00;0.0;0.0;0.0;0.07945808877208527
2019-01-02 12:00:00;0.0;0.0;0.0;0.3667758846695323
2019-01-02 13:00:00;0.0;0.0;0.0;0.8375059468472237
2019-01-02 14:00:00;0.0;0.0;0.0;1.1880003674898618
2019-01-02 15:00:00;0.0;0.0;0.0;1.3240713838569067
2019-01-02 16:00:00;0.0;0.0;0.0;0.9945631306972695
