from;r120640428428-electricity;r120640428428-electricity-large_battery_storage;r120640428428-electricity-large_battery_storage;r120640428428-electricity;r120640428428-electricity-small_battery_storage;r120640428428-electricity-small_battery_storage;r120640428428-heat_low_central;r120640428428-heat_low_central-storage;r120640428428-heat_low_central-storage;r120640428428-heat_low_decentral;r120640428428-heat_low_decentral-storage;r120640428428-heat_low_decentral-storage
to;r120640428428-electricity-large_battery_storage;nan;r120640428428-electricity;r120640428428-electricity-small_battery_storage;nan;r120640428428-electricity;r120640428428-heat_low_central-storage;nan;r120640428428-heat_low_central;r120640428428-heat_low_decentral-storage;nan;r120640428428-heat_low_decentral
type;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow;flow;storage_content;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.20763275189043853;1.6558794206788927;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.20427102992829121;1.690477087940729;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.2025024242246217;1.7198817548867853;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.19065328269435922;1.7347337964385787;0.0;0.264147260586137;0.264147260586137;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.16177949545993425;1.7198043223454564;0.0;1.2895302811617597;1.5481304492755878;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.09638247122695809;1.6422787119133297;0.0;0.0;0.4934125672689538;1.0222071425718466
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.07776712123103491;1.554262619528411;0.0;0.0;0.0;0.48305090335630574
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.09162435287814857;1.4886282233961556;0.0;0.0;0.0;0.0
2019-01-01 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.09283539122441342;1.4307440844564652;0.0;0.0;0.0;0.0
2019-01-01 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.10282100790306115;1.3884342637558185;0.0;0.0;0.0;0.0
2019-01-01 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.11197566009740895;1.3593269842756974;0.0;0.0;0.0;0.0
2019-01-01 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.11766263066452937;1.3387036638993666;0.0;0.0;0.0;0.0
2019-01-01 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.12330518889408804;1.3256723826256362;0.0;0.0;0.0;0.0
2019-01-01 13:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.12779241168800354;1.318341707817316;0.0;0.0;0.0;0.0
2019-01-01 14:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.12564679590414024;1.3096413970216418;0.0;0.0;0.0;0.0
2019-01-01 15:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.12022256941337922;1.2964953753445894;0.0;0.0;0.0;0.0
