scenario;name;var_name;carrier;region;tech;type;var_value
2050-100-el_eff;B-ch4-boiler_large;flow_in_ch4;ch4;B;boiler_large;conversion;4037440.8764406703
2050-100-el_eff;BB-ch4-boiler_large;flow_in_ch4;ch4;BB;boiler_large;conversion;11494.295039999999
2050-100-el_eff;B-ch4-boiler_large;flow_out_heat_central;ch4;B;boiler_large;conversion;4198938.52335458
2050-100-el_eff;BB-ch4-boiler_large;flow_out_heat_central;ch4;BB;boiler_large;conversion;11954.067407999999
2050-100-el_eff;B-ch4-boiler_large;invest_costs_out_heat_central;ch4;B;boiler_large;conversion;6693596.64259041
2050-100-el_eff;BB-ch4-boiler_large;invest_costs_out_heat_central;ch4;BB;boiler_large;conversion;62057.28866205856
2050-100-el_eff;B-ch4-boiler_large;invest_out_heat_central;ch4;B;boiler_large;conversion;1365.8734
2050-100-el_eff;BB-ch4-boiler_large;invest_out_heat_central;ch4;BB;boiler_large;conversion;12.663207
2050-100-el_eff;B-ch4-boiler_large;summed_variable_costs_out_heat_central;ch4;B;boiler_large;conversion;4198938.52335458
2050-100-el_eff;BB-ch4-boiler_large;summed_variable_costs_out_heat_central;ch4;BB;boiler_large;conversion;11954.067407999999
2050-100-el_eff;B-ch4-boiler_small;flow_in_ch4;ch4;B;boiler_small;conversion;3475281.8276203
2050-100-el_eff;BB-ch4-boiler_small;flow_in_ch4;ch4;BB;boiler_small;conversion;2654192.4093734
2050-100-el_eff;B-ch4-boiler_small;flow_out_heat_decentral;ch4;B;boiler_small;conversion;3440529.00858006
2050-100-el_eff;BB-ch4-boiler_small;flow_out_heat_decentral;ch4;BB;boiler_small;conversion;2627650.4854044
2050-100-el_eff;B-ch4-boiler_small;invest_costs_out_heat_decentral;ch4;B;boiler_small;conversion;38576878.002317496
2050-100-el_eff;BB-ch4-boiler_small;invest_costs_out_heat_decentral;ch4;BB;boiler_small;conversion;29455685.990375582
2050-100-el_eff;B-ch4-boiler_small;invest_out_heat_decentral;ch4;B;boiler_small;conversion;1294.4123
2050-100-el_eff;BB-ch4-boiler_small;invest_out_heat_decentral;ch4;BB;boiler_small;conversion;988.35894
2050-100-el_eff;B-ch4-boiler_small;summed_variable_costs_out_heat_decentral;ch4;B;boiler_small;conversion;3.44052900858006
2050-100-el_eff;BB-ch4-boiler_small;summed_variable_costs_out_heat_decentral;ch4;BB;boiler_small;conversion;2.6276504854044
2050-100-el_eff;B-ch4-bpchp;flow_in_ch4;ch4;B;bpchp;backpressure;0.0
2050-100-el_eff;BB-ch4-bpchp;flow_in_ch4;ch4;BB;bpchp;backpressure;0.0
2050-100-el_eff;B-ch4-bpchp;flow_out_electricity;ch4;B;bpchp;backpressure;0.0
2050-100-el_eff;BB-ch4-bpchp;flow_out_electricity;ch4;BB;bpchp;backpressure;0.0
2050-100-el_eff;B-ch4-bpchp;flow_out_heat_central;ch4;B;bpchp;backpressure;0.0
2050-100-el_eff;BB-ch4-bpchp;flow_out_heat_central;ch4;BB;bpchp;backpressure;0.0
2050-100-el_eff;B-ch4-bpchp;invest_costs_out_electricity;ch4;B;bpchp;backpressure;0.0
2050-100-el_eff;BB-ch4-bpchp;invest_costs_out_electricity;ch4;BB;bpchp;backpressure;0.0
2050-100-el_eff;B-ch4-bpchp;invest_out_electricity;ch4;B;bpchp;backpressure;0.0
2050-100-el_eff;BB-ch4-bpchp;invest_out_electricity;ch4;BB;bpchp;backpressure;0.0
2050-100-el_eff;B-ch4-demand;flow_in_ch4;ch4;B;demand;load;68780.0
2050-100-el_eff;BB-ch4-demand;flow_in_ch4;ch4;BB;demand;load;3549259.0
2050-100-el_eff;B-ch4-excess;flow_in_ch4;ch4;B;excess;excess;0.0
2050-100-el_eff;BB-ch4-excess;flow_in_ch4;ch4;BB;excess;excess;0.0
2050-100-el_eff;B-ch4-export;flow_in_ch4;ch4;B;export;excess;0.0
2050-100-el_eff;BB-ch4-export;flow_in_ch4;ch4;BB;export;excess;0.0
2050-100-el_eff;B-ch4-gt;flow_in_ch4;ch4;B;gt;conversion;43821.84015
2050-100-el_eff;BB-ch4-gt;flow_in_ch4;ch4;BB;gt;conversion;0.0
2050-100-el_eff;B-ch4-gt;flow_out_electricity;ch4;B;gt;conversion;18843.39127
2050-100-el_eff;BB-ch4-gt;flow_out_electricity;ch4;BB;gt;conversion;0.0
2050-100-el_eff;B-ch4-gt;invest_costs_out_electricity;ch4;B;gt;conversion;30602132.44772318
2050-100-el_eff;BB-ch4-gt;invest_costs_out_electricity;ch4;BB;gt;conversion;0.0
2050-100-el_eff;B-ch4-gt;invest_out_electricity;ch4;B;gt;conversion;596.69307
2050-100-el_eff;BB-ch4-gt;invest_out_electricity;ch4;BB;gt;conversion;0.0
2050-100-el_eff;B-ch4-gt;summed_variable_costs_out_electricity;ch4;B;gt;conversion;75373.56508
2050-100-el_eff;BB-ch4-gt;summed_variable_costs_out_electricity;ch4;BB;gt;conversion;0.0
